date,code,open,high,low,close,volume,name
2022-01-04,sz.000333,62.0203620000,63.2775315000,61.6851168000,63.1601956800,31040801,美的集团
2022-01-05,sz.000333,63.1937202000,66.9065607900,62.6405656200,63.9228785100,61369922,美的集团
2022-01-06,sz.000333,63.5373465300,65.5320554700,62.6908524000,62.8417127400,34188949,美的集团
2022-01-07,sz.000333,63.2607692400,65.7751082400,62.8668561300,65.1884291400,43722085,美的集团
2022-01-10,sz.000333,65.5404366000,67.7865794400,64.5347010000,65.2051914000,35252163,美的集团
2022-01-11,sz.000333,64.5514632600,66.0600666600,63.2775315000,63.3613428000,33694529,美的集团
2022-01-12,sz.000333,63.7720181700,63.9647841600,61.2073923900,62.2550336400,38464129,美的集团
2022-01-13,sz.000333,62.5064675400,63.1601956800,60.5117586000,60.6123321600,26732585,美的集团
2022-01-14,sz.000333,60.4279473000,61.0565320500,59.8412682000,60.3441360000,20996990,美的集团
2022-01-17,sz.000333,60.4279473000,61.5510187200,60.1094643600,61.2073923900,20381136,美的集团
2022-01-18,sz.000333,61.0230075300,61.7521658400,60.3608982600,61.4336829000,21307718,美的集团
2022-01-19,sz.000333,61.7689281000,63.8558294700,61.5677809800,63.0512409900,40401059,美的集团
2022-01-20,sz.000333,63.0177164700,66.0433044000,62.9506674300,65.8924440600,50662197,美的集团
2022-01-21,sz.000333,65.4733875600,66.0600666600,64.2245991900,64.8783273300,30226221,美的集团
2022-01-24,sz.000333,64.3670784000,66.2360703900,64.1156445000,64.6017500400,16913071,美的集团
2022-01-25,sz.000333,64.3670784000,66.0433044000,63.0428598600,63.5708710500,25185151,美的集团
2022-01-26,sz.000333,64.0905011100,64.9789008900,63.3110560200,64.1240256300,17996504,美的集团
2022-01-27,sz.000333,63.4870597500,64.3419350100,62.4477996300,62.7076146600,25896559,美的集团
2022-01-28,sz.000333,62.7159957900,63.6965880000,61.2073923900,61.3498716000,26921924,美的集团
2022-02-07,sz.000333,62.4394185000,63.3948673200,61.5007319400,62.6070411000,21295784,美的集团
2022-02-08,sz.000333,62.3556072000,62.7746637000,61.1822490000,62.2717959000,25222789,美的集团
2022-02-09,sz.000333,62.5232298000,64.5933689100,61.9365507000,64.1910746700,30821130,美的集团
2022-02-10,sz.000333,63.7803993000,64.2078369300,61.6013055000,61.7270224500,40093808,美的集团
2022-02-11,sz.000333,61.3079659500,62.5232298000,60.7464302400,62.1376978200,26315615,美的集团
2022-02-14,sz.000333,61.6013055000,61.6264488900,60.0088908000,61.1822490000,19833640,美的集团
2022-02-15,sz.000333,60.9475773600,61.4336829000,60.2603247000,60.3692793900,22662561,美的集团
2022-02-16,sz.000333,60.4949963400,61.5929243700,60.1765134000,61.4336829000,18939258,美的集团
