date,open,high,low,close,volume
2019-01-02,12.1,12.1,11.8,11.85,71018331
2019-01-03,11.85,12.29,11.85,11.99,106182690
2019-01-04,11.82,12.98,11.81,12.79,207657571
2019-01-07,12.7,12.93,12.62,12.82,146567813
2019-01-08,12.73,12.9,12.65,12.75,86362655
2019-01-09,12.79,13.13,12.73,12.73,132128632
2019-01-10,12.67,12.76,12.49,12.51,82343723
2019-01-11,12.55,12.73,12.51,12.66,58434833
2019-01-14,12.74,12.78,12.48,12.53,52851190
2019-01-15,12.5,13.02,12.5,13.0,130766563
2019-01-16,13.0,13.06,12.78,12.82,88029957
2019-01-17,12.85,12.86,12.61,12.62,69246835
2019-01-18,12.68,12.9,12.64,12.88,86375612
2019-01-21,12.91,13.13,12.83,12.88,95248267
2019-01-22,12.84,12.91,12.7,12.75,55500865
2019-01-23,12.75,12.83,12.68,12.77,36602310
2019-01-24,12.78,13.12,12.73,12.93,101893488
2019-01-25,12.93,13.15,12.85,12.93,102043321
2019-01-28,13.1,13.19,12.83,12.89,96029986
2019-01-29,12.8,12.82,12.52,12.66,94851929
2019-01-30,12.59,12.74,12.46,12.46,66507914
2019-01-31,12.58,13.02,12.54,12.87,122801153
2019-02-01,13.0,13.32,12.95,13.28,152165551
2019-02-11,13.29,13.55,13.2,13.51,143270367
2019-02-12,13.5,13.58,13.33,13.42,121596238
2019-02-13,13.45,14.17,13.39,13.98,216214518
2019-02-14,13.93,13.98,13.76,13.87,114308806
2019-02-15,13.85,13.88,13.53,13.56,123804152
2019-02-18,13.68,14.47,13.67,14.47,207862882
2019-02-19,14.48,15.06,14.23,14.4,247750804
2019-02-20,14.36,14.6,14.18,14.46,140386177
2019-02-21,14.38,15.91,14.3,15.33,425084608
2019-02-22,15.49,16.86,15.18,16.86,436463184
2019-02-25,18.55,18.55,18.0,18.55,301324480
2019-02-26,20.0,20.41,19.41,19.5,810963328
2019-02-27,19.66,20.15,18.41,18.96,591088960
2019-02-28,18.6,19.88,18.06,19.6,481547472
2019-03-01,19.83,21.38,19.23,20.9,563327184
2019-03-04,21.35,22.68,20.4,20.95,592773088
2019-03-05,20.43,21.35,20.31,21.28,359015792
2019-03-06,21.0,22.88,20.88,22.22,527561456
2019-03-07,21.84,22.47,21.0,21.33,542195792
2019-03-08,19.98,20.73,19.25,19.3,496990672
2019-03-11,19.42,20.17,19.11,19.92,302248624
2019-03-12,19.88,21.11,19.83,20.32,430158544
2019-03-13,20.2,20.22,19.33,19.43,329458656
2019-03-14,19.25,19.85,18.91,19.41,268349278
2019-03-15,19.6,19.74,19.13,19.25,220758616
2019-03-18,19.18,20.05,18.66,19.97,288776432
2019-03-19,19.79,19.99,19.45,19.6,200292580
2019-03-20,19.62,20.2,19.49,19.87,259429475
2019-03-21,19.98,20.92,19.76,20.24,363185168
2019-03-22,20.14,20.33,19.41,19.85,228914933
2019-03-25,19.3,19.5,18.75,18.79,267864916
2019-03-26,18.96,19.1,18.14,18.35,229209740
2019-03-27,18.51,18.66,18.08,18.41,201092521
2019-03-28,18.22,18.56,18.01,18.01,214631657
2019-03-29,18.18,19.4,18.09,19.38,390492400
2019-04-01,19.46,20.88,19.2,20.25,423445584
2019-04-02,20.26,21.52,20.11,20.45,450530432
2019-04-03,20.02,21.09,19.98,20.88,361519008
2019-04-04,21.03,21.2,20.45,20.55,257938847
2019-04-08,20.8,20.82,19.6,20.09,281882496
2019-04-09,19.99,20.28,19.62,19.9,206612321
2019-04-10,19.73,19.76,18.92,19.21,293657872
2019-04-11,19.14,19.46,18.79,19.13,218915590
2019-04-12,19.16,19.38,19.02,19.16,164304146
2019-04-15,19.61,19.71,18.5,18.54,219038991
2019-04-16,18.4,19.17,18.27,19.15,211053051
2019-04-17,18.95,19.15,18.84,18.92,145212656
2019-04-18,18.88,19.14,18.8,18.87,110963710
2019-04-19,19.0,19.33,18.91,19.25,152327522
2019-04-22,19.45,19.57,18.63,18.73,175999077
2019-04-23,18.68,19.27,18.43,18.83,167434928
2019-04-24,18.83,19.14,18.63,19.07,143834323
2019-04-25,18.98,19.14,18.22,18.26,174826664
2019-04-26,18.1,18.64,18.03,18.19,159969388
2019-04-29,17.88,17.99,16.49,16.63,306521664
