date,close
2023-01-03,37.58
2023-01-04,38.65
2023-01-05,38.5
2023-01-06,38.38
2023-01-09,38.8
2023-01-10,38.25
2023-01-11,38.92
2023-01-12,39.05
2023-01-13,39.66
2023-01-16,40.47
2023-01-17,40.68
2023-01-18,40.38
2023-01-19,40.65
2023-01-20,41.05
2023-01-30,42.03
2023-01-31,41.21
2023-02-01,40.54
2023-02-02,40.03
2023-02-03,39.3
2023-02-06,38.35
2023-02-07,38.41
2023-02-08,38.49
2023-02-09,38.49
2023-02-10,38.16
2023-02-13,37.72
2023-02-14,38.0
2023-02-15,37.17
2023-02-16,37.27
2023-02-17,36.71
2023-02-20,38.49
2023-02-21,38.69
2023-02-22,38.16
2023-02-23,38.27
2023-02-24,37.46
2023-02-27,37.16
2023-02-28,37.31
2023-03-01,38.25
2023-03-02,38.25
2023-03-03,38.25
2023-03-06,37.0
2023-03-07,36.56
2023-03-08,36.0
2023-03-09,35.58
2023-03-10,35.03
2023-03-13,35.05
2023-03-14,34.58
2023-03-15,34.88
2023-03-16,34.65
2023-03-17,34.36
2023-03-20,34.12
2023-03-21,34.23
2023-03-22,34.54
2023-03-23,35.2
2023-03-24,34.43
2023-03-27,34.21
2023-03-28,34.4
2023-03-29,34.12
2023-03-30,34.35
2023-03-31,34.27
2023-04-03,34.37
2023-04-04,34.28
2023-04-06,33.8
2023-04-07,34.14
2023-04-10,34.24
2023-04-11,33.73
2023-04-12,33.74
2023-04-13,34.01
2023-04-14,34.39
2023-04-17,35.2
2023-04-18,35.68
2023-04-19,35.5
2023-04-20,34.99
2023-04-21,34.5
2023-04-24,33.6
2023-04-25,34.03
2023-04-26,33.82
2023-04-27,32.63
2023-04-28,33.6
2023-05-04,34.13
2023-05-05,34.69
2023-05-08,35.6
2023-05-09,34.99
2023-05-10,34.4
2023-05-11,34.45
2023-05-12,34.04
2023-05-15,34.7
2023-05-16,34.82
2023-05-17,34.5
2023-05-18,34.45
2023-05-19,33.95
2023-05-22,34.2
2023-05-23,33.6
2023-05-24,32.93
2023-05-25,32.42
