date,open,high,low,close
2022-01-04,20.9428477100,21.0347426100,20.6947314800,20.9520372000
2022-01-05,20.9612266900,21.4023222100,20.8233843400,21.2093429200
2022-01-06,21.0531215900,22.1466709000,21.0071741400,21.9169336500
2022-01-07,21.8434177300,23.0748093900,21.8250387500,22.7991246900
2022-01-10,23.1575148000,23.2585991900,22.4315450900,22.8450721400
2022-01-11,22.9277775500,23.1115673500,22.4407345800,22.5326294800
2022-01-12,22.5326294800,22.6429033600,22.0731549800,22.5050610100
2022-01-13,22.4407345800,22.6153348900,21.9353126300,21.9812600800
2022-01-14,21.9445021200,21.9445021200,21.4390801700,21.4850276200
2022-01-17,21.4207011900,21.5953015000,21.2185324100,21.5217855800
2022-01-18,21.3747537400,21.8709862000,21.2093429200,21.6320594600
2022-01-19,21.8434177300,22.5142505000,21.7607123200,22.3764081500
2022-01-20,22.3764081500,22.6061454000,21.8066597700,22.2845132500
2022-01-21,22.1007234500,22.1191024300,21.2277219000,21.3012378200
2022-01-24,21.0898795500,21.3012378200,20.7039209700,20.9060897500
2022-01-25,20.7682474000,20.9979846500,19.9779512600,20.0422776900
2022-01-26,20.0422776900,20.3455308600,19.7298350300,20.1893095300
2022-01-27,20.0330882000,20.0974146300,18.9946758300,19.0498127700
2022-01-28,19.1049497100,19.2244130800,18.3973589800,18.5076328600
2022-02-07,18.8752124600,19.1508971600,18.7189911300,19.0590022600
2022-02-08,19.2152235900,19.6471296200,19.0773812400,19.5276662500
2022-02-09,19.5276662500,19.5276662500,19.1784656300,19.4725293100
2022-02-10,19.4909082900,19.6103716600,19.2979290000,19.4909082900
2022-02-11,19.4817188000,19.5368557400,19.0406232800,19.1325181800
2022-02-14,18.9854863400,19.1692761400,18.6087172500,18.8016965400
2022-02-15,18.7465596000,19.0957602200,18.7006121500,19.0681917500
2022-02-16,19.2244130800,19.2979290000,19.0038653200,19.1325181800
2022-02-17,19.1508971600,19.1968446100,18.9303494000,19.0681917500
2022-02-18,18.8844019500,19.2060341000,18.8292650100,19.1968446100
2022-02-21,19.1600866500,19.1692761400,18.9579178700,19.0957602200
2022-02-22,18.9119704200,18.9303494000,18.6638541900,18.7281806200
2022-02-23,18.7281806200,19.0865707300,18.7281806200,19.0681917500
2022-02-24,19.0130548100,19.0130548100,18.4524959200,18.5535803100
2022-02-25,18.6638541900,18.8200755200,18.4341169400,18.5352013300
2022-02-28,18.5168223500,18.5168223500,17.9378844800,18.0205898900
2022-03-01,18.0114004000,18.1584322400,17.9654529500,18.1400532600
2022-03-02,18.0114004000,18.0205898900,17.8276106000,17.9195055000
2022-03-03,17.9562634600,18.0114004000,17.8184211100,17.8551790700
2022-03-04,17.7357157000,17.7357157000,17.3497571200,17.3957045700
2022-03-07,17.2027252800,17.2027252800,16.5962189400,16.6881138400
2022-03-08,16.6329769000,16.8075772100,15.9161966800,16.2286393400
2022-03-09,16.2653973000,16.3481027100,15.0248161500,15.6956489200
2022-03-10,16.0632285200,16.0724180100,15.7783543300,15.8334912700
2022-03-11,15.5210486100,16.4308081200,15.3188798300,16.4216186300
2022-03-14,16.1367444400,16.5594609800,16.0080915800,16.0080915800
2022-03-15,15.9070071900,16.0080915800,15.1626585000,15.1626585000
2022-03-16,15.5761855500,15.8702492300,14.8869738000,15.7783543300
2022-03-17,16.0448495400,16.6421663900,15.9161966800,16.2837762800
2022-03-18,16.1735024000,16.6054084300,16.0080915800,16.4951345500
2022-03-21,16.5410820000,16.6054084300,16.1735024000,16.3297237300
2022-03-22,16.2010708700,16.4216186300,16.0999864800,16.2837762800
2022-03-23,16.2286393400,16.3940501600,16.1735024000,16.2010708700
2022-03-24,16.0724180100,16.1275549500,15.8610597400,16.0448495400
2022-03-25,16.0448495400,16.1367444400,15.7048384100,15.7140279000
2022-03-28,15.6221330000,15.8978177000,15.3740167700,15.8426807600
2022-03-29,15.8334912700,15.8518702500,15.3372588100,15.3648272800
2022-03-30,15.5118591200,16.2194498500,15.4475326900,16.2010708700
2022-03-31,16.0816075000,16.3572922000,16.0356600500,16.0999864800
2022-04-01,15.9713336200,16.2653973000,15.9161966800,16.1275549500
2022-04-06,15.9897126000,16.5686504700,15.8610597400,16.4308081200
2022-04-07,16.2653973000,16.6605453700,16.1918813800,16.2286393400
2022-04-08,16.3572922000,17.8551790700,16.3572922000,17.7081472300
2022-04-11,17.6438208000,17.6438208000,17.0097459900,17.1108303800
2022-04-12,16.9913670100,17.3957045700,16.8810931300,17.2578622200
2022-04-13,17.0005565000,17.0005565000,16.6329769000,16.6881138400
2022-04-14,16.7708192500,17.3681361000,16.7432507800,17.2302937500
2022-04-15,17.0005565000,17.1659673200,16.8719036400,16.9362300700
2022-04-18,16.7800087400,16.8075772100,16.4951345500,16.5502714900
2022-04-19,16.5318925100,16.7616297600,16.0907969900,16.2470183200
2022-04-20,16.3113447500,16.4124291400,15.9161966800,15.9713336200
2022-04-21,15.9070071900,15.9621441300,15.3096903400,15.3648272800
2022-04-22,15.2729323800,15.6129435100,14.9972476800,15.4751011600
2022-04-25,14.7031840000,14.9053527800,14.0599197000,14.0782986800
2022-04-26,14.0874881700,14.2069515400,13.3982764200,13.4258448900
2022-04-27,13.5085503000,14.4274993000,13.5085503000,14.3539833800
2022-04-28,14.3539833800,14.5653416500,14.1058671500,14.5010152200
2022-04-29,14.2712779700,15.4383432000,14.0691091900,15.1626585000
2022-05-05,15.1626585000,15.5669960600,15.0707636000,15.2545534000
2022-05-06,14.9329212500,15.2637428900,14.7491314500,14.8961632900
2022-05-09,14.9053527800,15.0340056400,14.5745311400,14.6480470600
2022-05-10,14.3907413400,15.0248161500,14.2161410300,14.8869738000
2022-05-11,14.8134578800,15.1902269700,14.8134578800,14.8869738000
2022-05-12,14.7215629800,14.9421107400,14.4550677700,14.6204785900
2022-05-13,14.7858894100,15.1626585000,14.6388575700,14.7031840000
2022-05-16,15.1259005400,15.4383432000,14.8685948200,14.9237317600
2022-05-17,14.8869738000,15.0615741100,14.6756155300,15.0064371700
2022-05-18,15.0340056400,15.0615741100,14.7950789000,14.7950789000
2022-05-19,14.5193942000,14.6296680800,14.3264149100,14.6204785900
2022-05-20,14.6664260400,15.3464483000,14.6480470600,15.2453639100
2022-05-23,15.3648272800,15.3740167700,14.9880581900,15.0707636000
2022-05-24,15.0799530900,15.2361744200,14.6756155300,14.6756155300
2022-05-25,14.6112891000,14.9604897200,14.5285836900,14.9421107400
2022-05-26,15.0431951300,15.8978177000,15.0248161500,15.7048384100
2022-05-27,15.8243017800,15.8518702500,15.4934801400,15.6037540200
2022-05-30,15.7140279000,15.7783543300,15.3096903400,15.4291537100
2022-05-31,15.4383432000,15.5761855500,15.2637428900,15.5761855500
2022-06-01,15.4934801400,15.6680804500,15.3096903400,15.4383432000
2022-06-02,15.5026696300,15.6772699400,15.4383432000,15.5761855500
2022-06-06,15.5761855500,16.0172810700,15.4383432000,15.9713336200
2022-06-07,15.9621441300,16.3572922000,15.9161966800,16.0907969900
2022-06-08,16.0816075000,16.2194498500,15.7691648400,15.9437651500
2022-06-09,15.9621441300,16.3297237300,15.8059228000,15.9989020900
2022-06-10,15.9422939000,15.9422939000,15.5177949500,15.8573941100
2022-06-13,15.6498612900,16.7912918000,15.5743948100,16.5837589800
2022-06-14,16.4611259500,17.2723906100,16.3384929200,17.2063574400
2022-06-15,17.2723906100,17.8761224500,17.2346573700,17.2629573000
2022-06-16,17.2629573000,17.5836898400,16.7912918000,16.9044915200
2022-06-17,16.7063920100,17.1686242000,16.5271591200,16.9705246900
2022-06-20,16.9893913100,17.6497230100,16.7629918700,17.5270899800
2022-06-21,17.4516235000,17.6874562500,17.1874908200,17.5270899800
2022-06-22,17.5836898400,17.6214230800,16.9799580000,16.9893913100
2022-06-23,16.9893913100,17.2440906800,16.9327914500,17.2252240600
2022-06-24,17.2157907500,17.2346573700,16.8290250400,17.0837244100
2022-06-27,17.0176912400,17.6591563200,16.9988246200,17.5176566700
2022-06-28,17.5270899800,17.6591563200,17.3855903300,17.5742565300
2022-06-29,17.5082233600,17.9798888600,17.3478570900,17.3572904000
2022-06-30,17.3195571600,18.1025218900,17.2818239200,17.9798888600
2022-07-01,18.2062883000,19.2250857800,18.2062883000,18.7156870400
2022-07-04,19.0269862700,19.0269862700,18.5741873900,18.7062537300
2022-07-05,18.7156870400,18.7156870400,18.0176221000,18.3006214000
2022-07-06,18.2157216100,18.2157216100,17.4516235000,17.6214230800
2022-07-07,17.6497230100,18.0270554100,17.4516235000,17.8478225200
