date,五粮液,万华化学,立讯精密,中国中免,兆易创新,京沪高铁
2024-01-02,136.0,75.67,33.98,80.6,89.98,4.89
2024-01-03,134.88,75.55,32.67,80.43,86.06,4.89
2024-01-04,132.32,75.16,32.5,78.6,81.3,4.81
2024-01-05,131.24,75.2,32.5,77.02,79.7,4.76
2024-01-08,128.1,73.63,31.33,75.4,77.61,4.67
2024-01-09,127.81,72.32,31.46,80.22,77.7,4.73
2024-01-10,128.8,73.0,31.22,81.7,76.58,4.74
2024-01-11,129.62,71.48,31.3,82.07,77.86,4.72
2024-01-12,128.75,70.84,30.6,80.81,76.6,4.75
2024-01-15,128.68,69.81,30.68,82.25,76.55,4.79
2024-01-16,128.41,70.06,30.29,82.4,76.48,4.86
2024-01-17,125.14,67.7,28.4,79.0,74.33,4.8
2024-01-18,127.9,69.81,28.72,84.0,75.93,4.83
2024-01-19,128.89,70.2,29.34,84.01,75.28,4.85
2024-01-22,127.0,69.17,28.93,81.97,72.29,4.79
2024-01-23,127.38,69.62,29.27,81.15,73.23,4.69
2024-01-24,128.05,70.3,29.05,81.93,72.1,4.84
2024-01-25,131.11,72.09,29.13,86.9,74.16,4.94
2024-01-26,131.0,73.0,27.82,85.62,68.73,4.97
2024-01-29,131.78,72.7,27.16,84.92,66.68,5.02
2024-01-30,127.71,71.24,26.52,82.25,65.35,4.99
2024-01-31,126.3,69.69,25.49,79.81,62.5,4.97
2024-02-01,126.5,70.21,25.85,80.95,63.31,4.93
2024-02-02,123.82,67.71,25.63,78.52,60.18,4.92
2024-02-05,126.57,70.01,26.98,77.87,57.92,5.0
2024-02-06,132.99,72.3,28.22,82.7,61.96,5.06
2024-02-07,133.87,73.35,28.23,84.0,62.3,5.06
2024-02-08,133.59,74.54,28.94,84.45,68.53,5.03
2024-02-19,136.15,74.61,27.49,85.29,66.95,5.1
2024-02-20,134.38,74.96,26.98,84.53,70.15,5.16
2024-02-21,141.02,78.03,27.47,86.86,69.27,5.12
2024-02-22,141.1,78.8,27.6,87.51,72.54,5.12
2024-02-23,141.71,77.62,27.16,87.58,71.98,5.11
2024-02-26,139.76,76.8,27.43,85.64,71.36,5.03
2024-02-27,139.76,78.31,28.11,86.19,74.19,5.02
2024-02-28,139.53,77.79,27.17,85.23,69.9,5.01
2024-02-29,142.25,79.55,27.58,87.1,73.27,5.05
2024-03-01,142.59,78.73,28.34,86.65,75.76,5.0
2024-03-04,140.33,76.14,28.01,85.13,74.93,4.99
2024-03-05,141.59,76.87,28.19,85.0,74.26,5.07
2024-03-06,139.06,75.95,27.96,84.85,72.83,5.04
2024-03-07,138.25,77.0,27.18,82.3,70.52,5.04
2024-03-08,138.42,77.18,27.56,81.37,71.6,5.03
2024-03-11,141.16,77.42,28.26,84.89,74.63,5.05
2024-03-12,148.31,79.02,28.49,87.62,79.0,5.04
2024-03-13,147.76,78.25,28.25,87.34,78.35,4.98
2024-03-14,149.56,77.29,27.56,88.05,77.18,5.03
2024-03-15,152.49,78.29,27.77,89.35,77.42,5.01
2024-03-18,153.5,78.99,28.04,89.68,77.89,5.05
2024-03-19,157.37,78.58,29.46,87.5,77.21,5.0
2024-03-20,156.95,77.88,29.65,87.53,77.1,5.0
2024-03-21,156.61,77.2,29.73,86.55,80.15,5.0
2024-03-22,153.43,77.24,31.84,84.31,78.38,4.96
2024-03-25,151.72,78.24,30.47,84.81,73.53,4.96
2024-03-26,155.22,80.01,30.95,85.06,76.47,4.97
2024-03-27,152.66,79.74,29.41,83.18,70.75,4.96
2024-03-28,153.1,80.45,29.75,86.18,72.75,4.99
2024-03-29,153.51,82.8,29.41,85.42,71.87,5.02
2024-04-01,157.28,84.55,29.67,87.5,72.44,5.07
2024-04-02,155.5,85.0,28.64,85.69,71.9,5.09
2024-04-03,154.6,84.9,28.76,84.5,71.61,5.09
2024-04-08,147.29,87.0,28.04,81.87,69.74,5.12
2024-04-09,146.48,86.9,28.45,82.01,69.85,5.06
2024-04-10,143.12,87.42,27.69,79.03,66.42,5.08
2024-04-11,142.34,86.8,27.63,78.24,70.18,5.07
2024-04-12,140.49,86.11,27.82,75.98,73.85,5.03
2024-04-15,147.32,88.0,27.8,77.33,73.2,5.15
2024-04-16,144.97,87.0,26.85,75.85,68.87,5.1
2024-04-17,145.3,87.08,27.28,77.17,75.76,5.17
2024-04-18,144.98,87.21,27.05,76.41,76.0,5.17
2024-04-19,142.9,86.55,26.39,72.35,74.09,5.16
2024-04-22,144.56,86.29,27.25,72.54,75.96,5.16
2024-04-23,147.03,84.5,27.59,71.72,74.5,5.18
2024-04-24,148.98,84.43,27.67,72.29,77.9,5.16
2024-04-25,148.98,84.5,28.54,71.93,77.11,5.23
2024-04-26,152.25,86.74,28.79,74.26,78.7,5.19
2024-04-29,151.75,89.85,29.83,76.42,78.75,5.12
2024-04-30,150.43,89.1,29.2,74.9,78.75,5.09
2024-05-06,155.01,91.94,30.99,76.26,81.94,5.26
2024-05-07,155.94,91.96,30.86,75.72,84.03,5.16
2024-05-08,155.0,90.87,29.6,73.36,81.99,5.13
2024-05-09,154.84,90.33,29.82,74.38,82.59,5.15
2024-05-10,154.43,90.22,29.5,74.03,82.49,5.15
2024-05-13,151.1,90.6,30.58,73.47,86.32,5.22
2024-05-14,151.34,89.67,31.08,73.68,86.62,5.24
2024-05-15,151.37,88.7,30.66,73.43,83.42,5.22
2024-05-16,154.05,88.75,31.76,73.79,81.55,5.19
2024-05-17,156.41,90.06,31.64,76.49,82.87,5.25
2024-05-20,157.3,89.83,31.62,78.22,82.68,5.25
2024-05-21,156.54,88.6,31.87,77.41,82.92,5.22
2024-05-22,155.12,91.28,32.86,78.01,82.53,5.24
2024-05-23,153.6,89.09,32.51,75.81,81.26,5.16
2024-05-24,151.15,88.71,31.51,73.66,78.6,5.13
2024-05-27,151.58,90.54,31.89,73.41,81.48,5.19
2024-05-28,150.03,90.12,31.11,72.48,81.69,5.14
2024-05-29,149.21,90.43,31.18,72.75,80.44,5.13
2024-05-30,146.26,88.87,32.26,71.39,82.38,5.08
2024-05-31,146.7,87.55,31.79,71.0,83.11,5.06
2024-06-03,145.98,87.22,32.51,70.47,86.17,5.02
2024-06-04,147.78,88.1,32.73,73.41,85.3,5.11
2024-06-05,145.76,88.14,32.88,73.34,84.77,5.13
2024-06-06,144.9,88.8,33.1,72.41,83.15,5.16
2024-06-07,142.34,87.99,32.2,72.6,83.46,5.24
2024-06-11,138.48,88.3,31.78,71.05,87.56,5.16
2024-06-12,137.9,86.65,33.42,71.23,86.6,5.17
2024-06-13,134.56,85.76,33.23,70.8,89.0,5.17
2024-06-14,135.68,86.47,34.35,69.28,90.66,5.13
2024-06-17,135.73,85.75,37.0,68.78,94.28,5.16
2024-06-18,133.89,85.13,37.99,69.29,93.6,5.19
