date,close,preclose,volume,pctChg,tradestatus
2022-01-04,226.6696152600,226.9251863100,5641449,-0.112600,1
2022-01-05,208.8380580000,226.6696152600,9457027,-7.866800,1
2022-01-06,203.7266370000,208.8380580000,8496671,-2.447600,1
2022-01-07,202.8065812200,203.7266370000,4701131,-0.451600,1
2022-01-10,199.9295814000,202.8065812200,6239474,-1.418600,1
2022-01-11,193.8542924400,199.9295814000,4612182,-3.038700,1
2022-01-12,197.8850130000,193.8542924400,4878640,2.079300,1
2022-01-13,194.6648177700,197.8850130000,3544781,-1.627300,1
2022-01-14,202.3027411500,194.6648177700,5838675,3.923600,1
2022-01-17,212.1969918000,202.3027411500,6725977,4.890800,1
2022-01-18,216.3518468700,212.1969918000,4274705,1.958000,1
2022-01-19,213.2192760000,216.3518468700,5026208,-1.447900,1
2022-01-20,214.1320297500,213.2192760000,3958549,0.428100,1
2022-01-21,208.2684996600,214.1320297500,4919767,-2.738300,1
2022-01-24,211.0359690300,208.2684996600,3305037,1.328800,1
2022-01-25,203.4345558000,211.0359690300,6045845,-3.602000,1
2022-01-26,201.8135051400,203.4345558000,5771614,-0.796800,1
2022-01-27,191.6782875000,201.8135051400,9351299,-5.022100,1
2022-01-28,185.6176026000,191.6782875000,8193779,-3.161900,1
2022-02-07,178.4981233500,185.6176026000,10649143,-3.835600,1
2022-02-08,172.9120704000,178.4981233500,11571102,-3.129500,1
2022-02-09,169.5750426900,172.9120704000,10057615,-1.929900,1
2022-02-10,169.3851899100,169.5750426900,7027122,-0.112000,1
2022-02-11,166.1576926500,169.3851899100,6406425,-1.905400,1
2022-02-14,167.2164870000,166.1576926500,5197757,0.637200,1
2022-02-15,176.2564001400,167.2164870000,9005651,5.406100,1
2022-02-16,175.2487200000,176.2564001400,6214717,-0.571700,1
2022-02-17,177.3663087000,175.2487200000,5936506,1.208300,1
2022-02-18,174.8105982000,177.3663087000,3867915,-1.440900,1
2022-02-21,173.0216008500,174.8105982000,4517940,-1.023400,1
2022-02-22,173.7883140000,173.0216008500,7434701,0.443100,1
2022-02-23,181.3021028700,173.7883140000,8209424,4.323500,1
2022-02-24,179.5934278500,181.3021028700,7303295,-0.942400,1
2022-02-25,178.9070370300,179.5934278500,6307589,-0.382200,1
2022-02-28,179.4911994300,178.9070370300,4184905,0.326500,1
2022-03-01,180.2141004000,179.4911994300,4821695,0.402800,1
2022-03-02,175.2487200000,180.2141004000,6874059,-2.755300,1
2022-03-03,172.3279080000,175.2487200000,4643779,-1.666700,1
2022-03-04,170.9697304200,172.3279080000,4826176,-0.788100,1
2022-03-07,161.3748630000,170.9697304200,8310858,-5.612000,1
2022-03-08,161.4332792400,161.3748630000,7085354,0.036200,1
2022-03-09,164.2518628200,161.4332792400,8839506,1.746000,1
2022-03-10,165.4201876200,164.2518628200,7218516,0.711300,1
2022-03-11,162.1926903600,165.4201876200,6200649,-1.951100,1
2022-03-14,151.8822240000,162.1926903600,9991044,-6.356900,1
2022-03-15,142.3895850000,151.8822240000,13505694,-6.250000,1
2022-03-16,156.6285435000,142.3895850000,12630575,10.000000,1
2022-03-17,163.6384923000,156.6285435000,13353459,4.475500,1
2022-03-18,163.7699288400,163.6384923000,6016000,0.080300,1
2022-03-21,162.2949187800,163.7699288400,5859493,-0.900700,1
2022-03-22,161.1119899200,162.2949187800,4581233,-0.728900,1
2022-03-23,158.9359849800,161.1119899200,6359394,-1.350600,1
2022-03-24,155.0805131400,158.9359849800,6364628,-2.425800,1
2022-03-25,149.8376556000,155.0805131400,5157931,-3.380700,1
2022-03-28,147.8003892300,149.8376556000,5804318,-1.359600,1
2022-03-29,143.6528361900,147.8003892300,6078242,-2.806200,1
2022-03-30,144.6678183600,143.6528361900,8491048,0.706600,1
2022-03-31,141.2212602000,144.6678183600,8993763,-2.382400,1
2022-04-01,141.7689124500,141.2212602000,5008932,0.387800,1
2022-04-06,137.3365802400,141.7689124500,7612177,-3.126400,1
2022-04-07,133.8608139600,137.3365802400,6691825,-2.530800,1
2022-04-08,131.5825806000,133.8608139600,6389927,-1.701900,1
2022-04-11,124.4996115000,131.5825806000,10623110,-5.382900,1
2022-04-12,124.9012231500,124.4996115000,10296605,0.322600,1
2022-04-13,123.4627232400,124.9012231500,5776129,-1.151700,1
2022-04-14,125.9089032900,123.4627232400,9868666,1.981300,1
2022-04-15,126.9823017000,125.9089032900,8002017,0.852500,1
2022-04-18,133.4153901300,126.9823017000,10239074,5.066100,1
2022-04-19,120.0745813200,133.4153901300,18753669,-9.999500,1
2022-04-20,116.6134191000,120.0745813200,10432913,-2.882500,1
2022-04-21,113.4224319900,116.6134191000,8632948,-2.736400,1
2022-04-22,108.8002470000,113.4224319900,9595458,-4.075200,1
2022-04-25,100.9213566300,108.8002470000,10564897,-7.241600,1
2022-04-26,98.3291359800,100.9213566300,9121482,-2.568600,1
2022-04-27,108.1649703900,98.3291359800,13219460,10.003000,1
2022-04-28,106.1130999600,108.1649703900,11841175,-1.897000,1
2022-04-29,109.8955515000,106.1130999600,13645034,3.564500,1
2022-05-05,107.4201633300,109.8955515000,9134266,-2.252500,1
2022-05-06,102.3452524800,107.4201633300,7333324,-4.724400,1
2022-05-09,100.1546434800,102.3452524800,6848906,-2.140400,1
2022-05-10,104.4628411800,100.1546434800,11647498,4.301500,1
2022-05-11,111.4070717100,104.4628411800,15711630,6.647600,1
2022-05-12,109.6399804500,111.4070717100,9666960,-1.586200,1
2022-05-13,109.6399804500,109.6399804500,6260628,0.000000,1
2022-05-16,108.0627419700,109.6399804500,7214106,-1.438600,1
2022-05-17,118.8697463700,108.0627419700,15765556,10.000700,1
2022-05-18,119.0230890000,118.8697463700,15136029,0.129000,1
2022-05-19,118.2928860000,119.0230890000,11088284,-0.613500,1
2022-05-20,119.5123250100,118.2928860000,9952119,1.030900,1
2022-05-23,120.8266904100,119.5123250100,13981982,1.099800,1
2022-05-24,114.7294953600,120.8266904100,12278634,-5.046200,1
2022-05-25,113.1741629700,114.7294953600,8389033,-1.355700,1
2022-05-26,111.1515006600,113.1741629700,12099540,-1.787200,1
2022-05-27,109.0339119600,111.1515006600,11156629,-1.905100,1
2022-05-30,116.1168810600,109.0339119600,16225873,6.496100,1
2022-05-31,119.7532920000,116.1168810600,14866798,3.131700,1
2022-06-01,119.0230890000,119.7532920000,8949067,-0.609800,1
2022-06-02,125.7774667500,119.0230890000,13524522,5.674800,1
2022-06-06,131.6775069900,125.7774667500,14126736,4.690900,1
2022-06-07,125.3904591600,131.6775069900,14285770,-4.774600,1
2022-06-08,124.5069135300,125.3904591600,12156673,-0.704600,1
2022-06-09,119.7021777900,124.5069135300,10196471,-3.859000,1
2022-06-10,120.7755762000,119.7021777900,11947000,0.896700,1
2022-06-13,118.4827387800,120.7755762000,8773990,-1.898400,1
2022-06-14,116.0438607600,118.4827387800,11441447,-2.058400,1
2022-06-15,117.7379317200,116.0438607600,13024819,1.459900,1
2022-06-16,118.0008048000,117.7379317200,11038602,0.223300,1
2022-06-17,117.1172591700,118.0008048000,14530548,-0.748800,1
2022-06-20,122.6887080600,117.1172591700,17271995,4.757200,1
2022-06-21,119.6218554600,122.6887080600,14192424,-2.499700,1
2022-06-22,112.8382695900,119.6218554600,19144146,-5.670900,1
2022-06-23,113.6195868000,112.8382695900,16456693,0.692400,1
2022-06-24,116.5257947400,113.6195868000,19512644,2.557800,1
2022-06-27,120.6295356000,116.5257947400,23959005,3.521700,1
2022-06-28,127.0626240300,120.6295356000,27430937,5.332900,1
2022-06-29,122.6741040000,127.0626240300,27317355,-3.453800,1
2022-06-30,126.3470250900,122.6741040000,17649612,2.994000,1
2022-07-01,126.5806900500,126.3470250900,14883994,0.184900,1
2022-07-04,119.8628224500,126.5806900500,21616873,-5.307200,1
2022-07-05,117.9204824700,119.8628224500,15493334,-1.620500,1
2022-07-06,119.1545255400,117.9204824700,20418644,1.046500,1
2022-07-07,116.9785206000,119.1545255400,15639753,-1.826200,1
2022-07-08,117.7452337500,116.9785206000,14642764,0.655400,1
2022-07-11,113.9554801800,117.7452337500,16641135,-3.218600,1
2022-07-12,109.2456708300,113.9554801800,15433897,-4.133000,1
2022-07-13,107.0696658900,109.2456708300,13137872,-1.991800,1
2022-07-14,106.2810466500,107.0696658900,12209818,-0.736500,1
2022-07-15,105.8648309400,106.2810466500,12940410,-0.391600,1
2022-07-18,106.9382293500,105.8648309400,12156377,1.013900,1
2022-07-19,105.7187903400,106.9382293500,8430847,-1.140300,1
2022-07-20,105.6603741000,105.7187903400,10185485,-0.055300,1
2022-07-21,108.7345287300,105.6603741000,17887922,2.909500,1
2022-07-22,106.5220136400,108.7345287300,9522992,-2.034800,1
2022-07-25,104.2729884000,106.5220136400,6911110,-2.111300,1
2022-07-26,105.3244807200,104.2729884000,6877855,1.008400,1
2022-07-27,103.9005848700,105.3244807200,8573468,-1.351900,1
2022-07-28,106.7105647500,103.9005693500,13152728,2.704500,1
2022-07-29,104.0786676500,106.7105647500,11217301,-2.466400,1
2022-08-01,105.1274687500,104.0786676500,14485801,1.007700,1
2022-08-02,103.0298665500,105.1274687500,13081038,-1.995300,1
2022-08-03,106.1366924500,103.0298665500,18998658,3.015500,1
2022-08-04,112.5581256000,106.1366924500,24288494,6.050200,1
2022-08-05,115.5956910500,112.5581256000,27285203,2.698700,1
2022-08-08,112.2810838000,115.5956910500,21664221,-2.867400,1
2022-08-09,112.7560126000,112.2810838000,14676293,0.423000,1
2022-08-10,109.7778132500,112.7560126000,12553430,-2.641300,1
2022-08-11,117.7427650000,109.7778132500,28576137,7.255500,1
2022-08-12,110.7375652000,117.7427650000,33593697,-5.949600,1
2022-08-15,106.6116212500,110.7375652000,20283044,-3.725900,1
2022-08-16,106.3147907500,106.6116212500,12094309,-0.278400,1
2022-08-17,106.8589800000,106.3147907500,11457040,0.511900,1
2022-08-18,106.9678178500,106.8589800000,10248151,0.101900,1
2022-08-19,104.3359207500,106.9678178500,12774595,-2.460500,1
2022-08-22,103.8807806500,104.3359207500,9411561,-0.436200,1
2022-08-23,101.1697287500,103.8807806500,13011232,-2.609800,1
2022-08-24,94.1645289500,101.1697287500,27849012,-6.924200,1
2022-08-25,91.9185115000,94.1645289500,20971083,-2.385200,1
