code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.688981,2021-05-14,2021-03-31,0.010326,0.103272,0.269709,753058000.000000,0.623834,,7899199076.00,1095653000.00
sh.688981,2021-08-28,2021-06-30,0.051682,0.316531,0.266656,5093113000.000000,1.036207,15852618000.000000,7901110626.00,1095653000.00
sh.688981,2021-11-12,2021-09-30,0.071111,0.295704,0.279438,7502315000.000000,1.084384,,7903435792.00,1871038200.00
sh.688981,2022-03-31,2021-12-31,0.103041,0.314407,0.293050,11202505000.000000,1.357957,35080627000.000000,7903856555.00,1871038200.00
sh.688981,2022-05-13,2022-03-31,0.025681,0.305274,0.411715,3618723000.000000,1.586580,,7906564118.00,1871038200.00
sh.688981,2022-08-27,2022-06-30,0.054087,0.316625,0.402566,7786518000.000000,1.486161,24299176000.000000,7901936207.00,1871038200.00
sh.688981,2022-11-11,2022-09-30,0.077598,0.307823,0.399045,11624501000.000000,1.616423,,7921398667.00,1957402720.00
sh.688981,2023-03-29,2022-12-31,0.100037,0.295935,0.382975,14653530000.000000,1.533375,48884712000.000000,7912664696.00,1957402720.00
sh.688981,2023-05-12,2023-03-31,0.011918,0.180125,0.227652,1838878000.000000,1.374153,,7918297542.00,1957402720.00
sh.688981,2023-08-26,2023-06-30,0.021726,0.172459,0.224387,3676449000.000000,1.120192,21235109000.000000,7925936550.00,1957402720.00
sh.688981,2023-11-10,2023-09-30,0.026592,0.145061,0.230112,4801253000.000000,0.807796,,7945513553.00,1973609172.00
sh.688981,2024-03-29,2023-12-31,0.034967,0.141350,0.218874,6396152000.000000,0.606906,44593076000.000000,7946555760.00,1973609172.00
sh.688981,2024-05-10,2024-03-31,0.003570,0.035745,0.141856,450160000.000000,0.470572,,7948722724.00,1973609172.00
sh.688981,2024-08-30,2024-06-30,0.011484,0.062504,0.139065,1641948000.000000,0.436368,26269310000.000000,7956207028.00,1973609172.00
sh.688981,2024-11-08,2024-09-30,0.018858,0.077191,0.176393,3232660000.000000,0.483492,,7971628604.00,1988359129.00
sh.688981,2025-03-28,2024-12-31,0.025450,0.092968,0.185902,5373118000.000000,0.463716,57107733000.000000,7976149966.00,1988359129.00
