code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.603288,2021-04-30,2021-03-31,0.092817,0.273231,0.409388,1955756466.010000,2.081064,,3240443208.00,3240443208.00
sh.603288,2021-08-31,2021-06-30,0.166998,0.272054,0.393118,3355010333.310000,1.543663,11746469100.000000,4212576170.00,4212576170.00
sh.603288,2021-10-30,2021-09-30,0.226837,0.261730,0.388702,4709670969.380000,1.552279,,4212576170.00,4212576170.00
sh.603288,2022-03-25,2021-12-31,0.306914,0.266816,0.386625,6671470525.660000,1.583534,23596521063.820000,4212576170.00,4212576170.00
sh.603288,2022-04-29,2022-03-31,0.075220,0.253924,0.381721,1830708028.470000,1.554029,,4212576170.00,4212576170.00
sh.603288,2022-08-30,2022-06-30,0.144413,0.250823,0.366282,3394180403.960000,1.448357,12688468100.000000,4633833787.00,4633833787.00
sh.603288,2022-10-27,2022-09-30,0.193380,0.244659,0.362388,4671596343.130000,1.430827,,4633833787.00,4633833787.00
sh.603288,2023-04-26,2022-12-31,0.248908,0.242220,0.356812,6203166580.060000,1.337492,23793902479.180000,4633833787.00,4633833787.00
sh.603288,2023-04-26,2023-03-31,0.062944,0.246912,0.369269,1723689885.390000,1.313004,,4633833787.00,4633833787.00
sh.603288,2023-08-30,2023-06-30,0.117620,0.239364,0.359111,3103481157.910000,1.061147,12087634900.000000,5560600544.00,5560600544.00
sh.603288,2023-10-31,2023-09-30,0.160678,0.232646,0.354946,4338879697.200000,1.053717,,5560600544.00,5560600544.00
sh.603288,2024-04-27,2023-12-31,0.204872,0.229737,0.347354,5642186761.430000,1.011874,22815087398.230000,5560600544.00,5560600544.00
sh.603288,2024-04-27,2024-03-31,0.065354,0.250598,0.373104,1928067307.670000,1.048437,,5560600544.00,5560600544.00
sh.603288,2024-08-30,2024-06-30,0.122114,0.244787,0.368619,3465187579.980000,1.076045,1318427.900000,5560600544.00,5560600544.00
sh.603288,2024-10-29,2024-09-30,0.166310,0.236718,0.367847,4828874456.170000,1.099315,,5560600544.00,5560600544.00
sh.603288,2025-04-03,2024-12-31,0.213513,0.236269,0.369974,6355860951.430000,1.140907,25127785961.700000,5560600544.00,5560600544.00
