name,pubDate,statDate,YOYNI
工商银行,2017-04-29,2017-03-31,0.014993
工商银行,2017-08-31,2017-06-30,0.020119
工商银行,2017-10-31,2017-09-30,0.025140
工商银行,2018-03-28,2017-12-31,0.029899
工商银行,2018-04-28,2018-03-31,0.040012
工商银行,2018-08-31,2018-06-30,0.045352
工商银行,2018-10-31,2018-09-30,0.048165
工商银行,2019-03-29,2018-12-31,0.039214
工商银行,2019-04-30,2019-03-31,0.045795
工商银行,2019-08-30,2019-06-30,0.050001
工商银行,2019-10-26,2019-09-30,0.052341
工商银行,2020-03-28,2019-12-31,0.049002
工商银行,2020-04-29,2020-03-31,0.028093
工商银行,2020-08-31,2020-06-30,-0.112004
工商银行,2020-10-31,2020-09-30,-0.089102
工商银行,2021-03-27,2020-12-31,0.013799
工商银行,2021-04-30,2021-03-31,0.015104
工商银行,2021-08-28,2021-06-30,0.098220
工商银行,2021-10-30,2021-09-30,0.100607
工商银行,2022-03-31,2021-12-31,0.102400
工商银行,2022-04-30,2022-03-31,0.055993
工商银行,2022-08-31,2022-06-30,0.049000
工商银行,2022-10-29,2022-09-30,0.052027
工商银行,2023-03-31,2022-12-31,0.030901
工商银行,2023-04-29,2023-03-31,0.005038
工商银行,2023-08-31,2023-06-30,0.011000
工商银行,2023-10-28,2023-09-30,0.008142
工商银行,2024-03-28,2023-12-31,0.008301
工商银行,2024-04-30,2024-03-31,-0.029834
工商银行,2024-08-31,2024-06-30,-0.019597
工商银行,2024-10-31,2024-09-30,0.002023
工商银行,2025-03-29,2024-12-31,0.005012
中国石油,2017-04-28,2017-03-31,1.970298
中国石油,2017-08-25,2017-06-30,0.240222
中国石油,2017-10-31,2017-09-30,0.437987
中国石油,2018-03-23,2017-12-31,0.250697
中国石油,2018-04-28,2018-03-31,0.432514
中国石油,2018-08-31,2018-06-30,0.781404
中国石油,2018-10-31,2018-09-30,1.118535
中国石油,2019-03-22,2018-12-31,0.968305
中国石油,2019-04-30,2019-03-31,0.054967
中国石油,2019-08-30,2019-06-30,0.013466
中国石油,2019-10-31,2019-09-30,-0.179610
中国石油,2020-03-27,2019-12-31,-0.094141
中国石油,2020-04-30,2020-03-31,-1.833053
中国石油,2020-08-28,2020-06-30,-1.596065
中国石油,2020-10-30,2020-09-30,-0.613818
中国石油,2021-03-26,2020-12-31,-0.500358
中国石油,2021-04-30,2021-03-31,3.369730
中国石油,2021-08-27,2021-06-30,3.907189
中国石油,2021-10-29,2021-09-30,3.500846
中国石油,2022-04-01,2021-12-31,2.425435
中国石油,2022-04-30,2022-03-31,0.378978
中国石油,2022-08-26,2022-06-30,0.352395
中国石油,2022-10-28,2022-09-30,0.436032
中国石油,2023-03-30,2022-12-31,0.429778
中国石油,2023-04-29,2023-03-31,0.115816
中国石油,2023-08-31,2023-06-30,0.039945
中国石油,2023-10-31,2023-09-30,0.098019
中国石油,2024-03-26,2023-12-31,0.103757
中国石油,2024-04-30,2024-03-31,0.057144
中国石油,2024-08-27,2024-06-30,0.053149
中国石油,2024-10-30,2024-09-30,0.012941
中国石油,2025-03-31,2024-12-31,0.017645
海螺水泥,2017-04-26,2017-03-31,0.942476
海螺水泥,2017-08-22,2017-06-30,1.039630
海螺水泥,2017-10-28,2017-09-30,0.646349
海螺水泥,2018-03-23,2017-12-31,0.835481
海螺水泥,2018-04-25,2018-03-31,1.149194
海螺水泥,2018-08-23,2018-06-30,0.885913
海螺水泥,2018-10-25,2018-09-30,1.077863
海螺水泥,2019-03-22,2018-12-31,0.864782
海螺水泥,2019-04-27,2019-03-31,0.265559
海螺水泥,2019-08-23,2019-06-30,0.173450
海螺水泥,2019-10-23,2019-09-30,0.145019
海螺水泥,2020-03-21,2019-12-31,0.121295
海螺水泥,2020-04-28,2020-03-31,-0.202542
海螺水泥,2020-08-22,2020-06-30,0.064012
海螺水泥,2020-10-28,2020-09-30,0.049318
海螺水泥,2021-03-26,2020-12-31,0.058750
海螺水泥,2021-04-28,2021-03-31,0.201968
海螺水泥,2021-08-28,2021-06-30,-0.075165
海螺水泥,2021-10-29,2021-09-30,-0.103667
海螺水泥,2022-03-26,2021-12-31,-0.061386
海螺水泥,2022-04-29,2022-03-31,-0.141222
海螺水泥,2022-08-26,2022-06-30,-0.339452
海螺水泥,2022-10-28,2022-09-30,-0.444574
海螺水泥,2023-03-28,2022-12-31,-0.527579
海螺水泥,2023-04-27,2023-03-31,-0.476479
海螺水泥,2023-08-22,2023-06-30,-0.330069
海螺水泥,2023-10-28,2023-09-30,-0.288795
海螺水泥,2024-03-20,2023-12-31,-0.334000
海螺水泥,2024-04-27,2024-03-31,-0.443281
海螺水泥,2024-08-28,2024-06-30,-0.502688
海螺水泥,2024-10-30,2024-09-30,-0.421888
海螺水泥,2025-03-25,2024-12-31,-0.286780
泸州老窖,2017-04-29,2017-03-31,0.338077
泸州老窖,2017-08-29,2017-06-30,0.318070
泸州老窖,2017-10-27,2017-09-30,0.326656
泸州老窖,2018-04-11,2017-12-31,0.314720
泸州老窖,2018-04-26,2018-03-31,0.537681
泸州老窖,2018-08-28,2018-06-30,0.348783
泸州老窖,2018-10-29,2018-09-30,0.373664
泸州老窖,2019-04-26,2018-12-31,0.349129
泸州老窖,2019-04-26,2019-03-31,0.398829
泸州老窖,2019-08-29,2019-06-30,0.365399
泸州老窖,2019-10-31,2019-09-30,0.354340
泸州老窖,2020-04-29,2019-12-31,0.322399
泸州老窖,2020-04-29,2020-03-31,0.110578
泸州老窖,2020-08-28,2020-06-30,0.160069
泸州老窖,2020-10-29,2020-09-30,0.255017
泸州老窖,2021-04-30,2020-12-31,0.283544
泸州老窖,2021-04-30,2021-03-31,0.262743
泸州老窖,2021-08-28,2021-06-30,0.323027
泸州老窖,2021-10-29,2021-09-30,0.313076
泸州老窖,2022-04-29,2021-12-31,0.332087
泸州老窖,2022-04-29,2022-03-31,0.326345
泸州老窖,2022-08-29,2022-06-30,0.306718
泸州老窖,2022-10-28,2022-09-30,0.314842
泸州老窖,2023-04-29,2022-12-31,0.311610
泸州老窖,2023-04-29,2023-03-31,0.287299
泸州老窖,2023-08-29,2023-06-30,0.277500
泸州老窖,2023-10-31,2023-09-30,0.281995
