date,建设银行,中国银行,华夏银行,宝钢股份,陕西煤业,金地集团,上汽集团,爱尔眼科,迈瑞医疗,汇川技术,恒立液压,通策医疗
2015-01-05,1.44435,1.26937,1.252455,1.083672,2.083877,1.845474,1.79808,9.252553,,7.260093,2.548335,12.437643
2015-01-06,1.423478,1.309576,1.230255,1.040151,2.106651,1.721922,1.878011,10.06236,,7.533102,2.473006,12.526952
2015-01-07,1.383821,1.303833,1.215455,1.024193,2.192056,1.703154,1.87725,9.774578,,7.284253,2.526288,12.064645
2015-01-08,1.325379,1.243523,1.17013,0.985024,2.109498,1.643723,1.837665,9.771231,,7.298749,2.528125,12.13294
2015-01-09,1.335815,1.283729,1.187705,0.961813,2.007013,1.60306,1.807215,9.774578,,7.293917,2.59243,12.545339
2015-01-12,1.304507,1.263626,1.171055,0.921193,1.935842,1.60306,1.873444,10.202905,,7.62491,2.425236,12.597874
2015-01-13,1.289897,1.275114,1.163655,0.918292,1.958617,1.588985,1.914552,10.105862,,8.388367,2.443609,13.049674
2015-01-14,1.321205,1.318192,1.18493,0.903785,1.907374,1.607752,1.852129,9.874967,,8.64688,2.4087,12.697691
2015-01-15,1.367123,1.398605,1.25523,0.93425,1.961463,1.681259,1.878011,9.868274,,8.424607,2.449121,12.595247
2015-01-16,1.385908,1.430195,1.254305,0.929898,1.970004,1.656235,1.891714,10.052321,,8.567715,2.425236,12.621515
2015-01-19,1.248152,1.286601,1.128505,0.842856,1.773573,1.490455,1.739463,9.978703,,8.127973,2.25253,12.290545
2015-01-20,1.239804,1.277986,1.128505,0.854461,1.824816,1.495147,1.776004,10.975904,,8.939804,2.291113,13.388525
2015-01-21,1.308682,1.404348,1.198805,0.887827,1.870365,1.562397,1.823201,11.072947,,8.835909,2.324185,13.383271
2015-01-22,1.294071,1.389989,1.18678,0.900884,1.913067,1.55927,1.832336,11.511313,,8.951885,2.355419,13.485714
2015-01-23,1.296158,1.389989,1.208055,0.890729,1.878905,1.579601,1.811021,10.85209,,8.529056,2.3003,13.24668
2015-01-26,1.283635,1.372758,1.196955,0.906686,1.878905,1.565525,1.796557,10.94244,,8.616038,2.349907,13.598664
2015-01-27,1.256501,1.32968,1.16643,0.886377,1.844743,1.518607,1.841471,10.865475,,8.468652,2.327859,13.532996
2015-01-28,1.246065,1.306704,1.150705,0.874771,1.728024,1.499839,1.817872,10.758393,,8.301937,2.370117,13.548756
2015-01-29,1.22728,1.263626,1.12388,0.877672,1.747951,1.477944,1.782094,10.694813,,8.456571,2.314998,13.485714
2015-01-30,1.221019,1.263626,1.12388,0.861715,1.713789,1.495147,1.724238,10.791856,,8.210123,2.316835,13.535623
2015-02-02,1.183449,1.192822,1.10168,0.828349,1.676781,1.463868,1.671712,10.594424,,8.021662,2.237831,13.567143
2015-02-03,1.21267,1.236145,1.12573,0.845757,1.682474,1.495147,1.71282,11.039483,,8.149718,2.274577,13.766776
2015-02-04,1.193885,1.192822,1.095205,0.929898,1.682474,1.481071,1.670189,10.862129,,8.253613,2.248855,13.572397
2015-02-05,1.177187,1.192822,1.09613,0.896532,1.639772,1.457612,1.661054,10.641272,,8.328515,2.173526,13.661706
2015-02-06,1.145879,1.158164,1.076705,0.932799,1.579989,1.380978,1.675518,10.396995,,7.818704,2.122082,13.567143
2015-02-09,1.152141,1.16394,1.08318,0.961813,1.608457,1.38567,1.711297,10.376904,,7.601249,2.15699,13.517235
2015-02-10,1.164664,1.184157,1.10538,0.958912,1.622691,1.420077,1.750121,10.447222,,7.925015,2.168014,13.406912
2015-02-11,1.16049,1.175493,1.09983,0.941503,1.622691,1.421641,1.760017,10.939447,,7.915351,2.190062,13.635439
2015-02-12,1.156315,1.172605,1.106305,0.929898,1.631231,1.418513,1.750882,10.798811,,7.87186,2.248855,14.029451
2015-02-13,1.166751,1.187046,1.143305,0.941503,1.685321,1.45292,1.74327,10.849038,,8.17388,2.234157,14.386688
2015-02-16,1.164664,1.181269,1.12758,0.938602,1.696708,1.456048,1.763062,11.190582,,8.359925,2.331534,15.826145
2015-02-17,1.168838,1.184157,1.132205,0.960362,1.679628,1.466996,1.795796,11.056643,,8.251197,2.329696,15.855039
2015-02-25,1.156315,1.169716,1.09798,0.947306,1.691015,1.426333,1.839188,10.825599,,8.388919,2.298462,15.671167
2015-02-26,1.185536,1.19571,1.130355,0.960362,1.739411,1.477944,1.881818,10.982977,,8.270527,2.309486,15.673794
2015-02-27,1.187623,1.187046,1.111855,0.969066,1.728024,1.481071,1.854413,11.160446,,8.649864,2.327859,15.723702
2015-03-02,1.195972,1.194987,1.111855,1.005334,1.739411,1.498275,1.848323,11.261638,,8.683691,2.326022,16.049418
2015-03-03,1.154228,1.154282,1.07393,0.958912,1.685321,1.438845,1.784377,10.956907,,8.328515,2.311323,15.939095
2015-03-04,1.147966,1.136836,1.069305,0.954559,1.691015,1.448228,1.811021,11.81752,,8.529056,2.313161,16.551127
2015-03-05,1.116658,1.104854,1.04618,0.921193,1.673934,1.432589,1.77372,11.53623,,8.606373,2.353581,15.973243
2015-03-06,1.125007,1.121478,1.04988,0.91394,1.696708,1.429461,1.729567,10.987045,,8.299521,2.392165,15.395359
2015-03-09,1.18971,1.180041,1.108155,0.925546,1.708096,1.451356,1.760017,11.15448,,8.81658,2.38849,15.371718
