date,川投能源,国投电力,华能国际,宁沪高速,粤高速A,重庆水务,北方稀土,三安光电,法拉电子,同花顺,漫步者,大族激光
2018-01-02,8.24665892,6.06273883,5.32946238,6.8004356,5.23113455,4.439968,14.26881298,24.06141876,41.53073952,31.30011422,5.0326219,46.78261938
2018-01-03,8.25457318,6.16065655,5.37196208,6.8004356,5.22471598,4.46729088,14.23027466,24.707618,42.66232128,31.79522858,5.07334832,48.1078003
2018-01-04,8.25457318,6.13617712,5.34646226,6.82819248,5.1990417,4.45362944,14.4036971,24.73612679,42.7721016,31.66827618,5.04425802,48.07047126
2018-01-05,8.28623022,6.14433693,5.36346214,6.87676702,5.28890168,4.45362944,14.09539054,24.81215023,43.30411392,32.52520488,5.06753026,48.1078003
2018-01-08,8.37328708,6.17697617,5.38046202,6.93228078,5.28248311,4.45362944,14.53858122,23.81434258,43.04233008,33.0393621,4.98607742,47.01592588
2018-01-09,8.01714538,5.98930054,5.33796232,6.89758468,5.29532025,4.46046016,14.7409074,24.4225301,42.07119648,32.60137632,4.96280518,49.8809297
2018-01-10,7.97757408,6.0382594,5.2699628,6.94615922,5.26964597,4.42630656,14.6445616,23.95688653,40.534272,32.81084778,4.90462458,50.4408653
2018-01-11,7.96174556,6.00562016,5.2699628,6.9045239,5.21829741,4.439968,14.5482158,24.1374422,40.72849872,34.01054796,4.945351,51.21544288
2018-01-12,7.91426,5.9566613,5.32946238,6.91146312,5.18620456,4.43313728,14.28808214,23.67179863,40.12048464,33.09649068,4.8289898,50.71150084
2018-01-15,7.82720314,5.86690339,5.21896316,6.93922,5.11560029,4.3716608,13.49804658,21.99928295,39.30135456,31.6746238,4.64281188,50.31954592
2018-01-16,7.81137462,5.86690339,5.21046322,7.02249064,5.14127457,4.39215296,13.61366154,21.17252804,38.99734752,31.8967905,4.63117576,52.2139947
2018-01-17,7.7955461,5.86690339,5.23596304,6.92534156,5.23113455,4.42630656,13.38243162,21.4766218,39.41113488,32.84258588,4.64281188,48.82638432
2018-01-18,7.7955461,5.89954263,5.21046322,6.92534156,5.20546027,4.439968,13.66183444,21.62866868,39.48713664,32.65215728,4.6835383,48.46242618
2018-01-19,7.81928888,5.89138282,5.37196208,7.00167298,5.2632274,4.43313728,13.71000734,21.67618333,40.12892928,33.55986694,4.70681054,48.63973912
2018-01-22,7.8351174,5.94034168,5.3549622,7.07106518,5.29532025,4.46046016,13.9219681,22.93057009,39.0142368,36.91775792,4.71844666,50.4408653
2018-01-23,7.82720314,5.90770244,5.3549622,7.09882206,5.36592452,4.48095232,14.15319802,22.94957595,38.423112,36.98758174,4.72426472,50.14223298
2018-01-24,7.81137462,5.97298092,5.3974619,7.27230256,5.4557845,4.48778304,13.970141,23.4722371,39.3097992,39.43776306,4.85226204,50.31021366
2018-01-25,7.85886018,5.9566613,5.40596184,7.20984958,5.43011022,4.4741216,13.98941016,23.32019022,39.34357776,38.37771052,4.7998995,50.78615892
2018-01-26,7.86677444,5.97298092,5.38896196,7.17515348,5.48787735,4.48778304,13.70037276,23.65279277,38.87912256,38.65065818,4.7998995,49.56363286
2018-01-29,7.73223202,5.94034168,5.50796112,7.05024752,5.40443594,4.56975168,13.70037276,21.54314231,38.07688176,38.720482,4.72426472,46.82928068
2018-01-30,7.72431776,5.94034168,5.6099604,6.98779454,5.34025024,4.55609024,13.62329612,21.78071556,36.3963984,38.51735816,4.73590084,46.67996452
2018-01-31,7.70057498,5.86690339,5.36346214,6.91146312,5.39801737,4.49461376,12.94887552,22.06580346,36.59906976,34.74052426,4.5962674,46.04537084
2018-02-01,7.57394682,5.76898567,5.17646346,6.87676702,5.32099453,4.41264512,12.44787736,21.79972142,35.678604,34.91825762,4.38099918,45.69074496
2018-02-02,7.6372609,5.85874358,5.17646346,6.91840234,5.3274131,4.439968,12.78508766,22.17033569,35.6363808,35.33720054,4.3053644,46.69862904
2018-02-05,7.6372609,5.85058377,5.17646346,6.92534156,5.30815739,4.44679872,12.68874186,21.3815925,34.99458816,34.79130522,4.52645068,45.43877394
2018-02-06,7.40774736,5.72002681,5.12546382,6.8004356,5.12201886,4.34433792,11.69638012,19.88012956,32.47808544,32.2459096,4.25881992,43.91761556
2018-02-07,7.34443328,5.711867,5.17646346,6.75880028,5.10276315,4.35799936,11.73491844,20.18422332,33.12832272,33.27422404,4.32863664,42.61109916
2018-02-08,7.33651902,5.66290814,5.15096364,6.75880028,5.08350744,4.37849152,12.06249416,21.26755734,34.10790096,30.93195226,4.46245202,44.13225754
2018-02-09,6.9645488,5.43443346,4.94696508,6.50204914,4.8781132,4.2692,11.37843898,21.39109543,33.356328,28.9134091,4.35190888,42.90039922
2018-02-12,7.07534844,5.47523251,5.03196448,6.68246886,4.96155461,4.3033536,11.69638012,22.77852321,36.64129296,29.44026156,4.41008948,46.18535474
2018-02-13,7.09909122,5.45891289,5.15946358,6.81431404,5.02574031,4.32384576,11.69638012,22.55045289,36.11772528,29.26887582,4.38099918,46.55864514
2018-02-14,7.19406234,5.45891289,5.11696388,6.82125326,5.04499602,4.35799936,11.72528386,22.73100856,35.7630504,29.28791868,4.43336172,47.0345904
2018-02-22,7.14657678,5.54051099,5.12546382,6.82125326,5.10276315,4.38532224,12.37080072,23.08261697,36.46395552,30.3733617,4.47408814,48.42509714
2018-02-23,7.1624053,5.58131004,5.13396376,6.81431404,5.10918172,4.39215296,12.36116614,22.92106716,36.19372704,30.2146712,4.46827008,48.061139
2018-02-26,7.2415479,5.6302689,5.1849634,6.86288858,5.12843743,4.41947584,12.524954,23.87136016,38.19510672,31.6746238,4.63117576,51.32743
2018-02-27,7.29694772,5.63842871,5.26146286,6.9045239,5.09634458,4.4058144,12.2840895,24.18495685,38.99734752,31.3572428,4.63699382,51.4207526
2018-02-28,7.26529068,5.61394928,5.26146286,6.84207092,5.09634458,4.39215296,12.61166522,24.36551252,38.57511552,30.79230462,4.63117576,53.11922392
2018-03-01,7.34443328,5.62210909,5.32096244,6.80737482,5.0706703,4.4058144,12.58276148,24.71712093,39.42802416,32.2459096,4.71844666,53.64183048
2018-03-02,7.32860476,5.63842871,5.524961,6.74492184,5.04499602,4.45362944,12.82362598,24.03290997,38.37244416,31.71905714,4.70681054,52.31664956
2018-03-05,7.36817606,5.711867,5.51646106,6.75880028,5.03857745,4.45362944,12.84289514,24.24197443,39.37735632,32.60137632,4.7417189,52.3539786
2018-03-06,7.40774736,5.78530529,5.63546022,6.77961794,5.17336742,4.4741216,13.1512017,25.09723813,39.86714544,32.66485252,4.86971622,52.17666566
2018-03-07,7.41566162,5.7934651,5.62696028,6.78655716,5.15411171,4.45362944,12.88143346,24.707618,39.87559008,32.14434768,4.79408144,51.57940102
2018-03-08,7.518547,5.92402206,5.96695788,6.82125326,5.16694885,4.49461376,13.02595216,24.64109749,39.900924,31.9285286,4.80571756,52.17666566
2018-03-09,7.49480422,5.93218187,5.949958,6.80737482,5.24397169,4.49461376,13.006683,25.55337877,40.6187184,33.69951458,4.86389816,55.14432434
2018-03-12,7.4789757,5.94850149,5.94145806,6.85594936,5.23755312,4.48778304,13.20900918,25.79095202,42.37520352,33.81377174,4.93371488,55.1536566
2018-03-13,7.43149014,5.93218187,5.89895836,6.8351317,5.16053028,4.4741216,12.89106804,25.38232603,41.98675008,33.55986694,4.89298846,54.04311766
2018-03-14,7.4789757,5.91586225,5.94145806,6.79349638,5.14769314,4.4741216,13.2957204,24.95469418,41.65740912,33.2615288,4.76499114,54.42574032
2018-03-15,7.39191884,5.8750632,5.92445818,6.7657395,5.12843743,4.41947584,13.37279704,25.0877352,40.7031648,33.36943834,4.71844666,54.11777574
2018-03-16,7.3602618,5.83426415,5.70345974,6.73798262,5.134856,4.41264512,13.01631758,24.21346564,40.28937744,32.60137632,4.73590084,53.1005594
2018-03-19,7.26529068,5.85058377,5.84795872,6.71716496,5.06425173,4.42630656,12.83326056,24.6125887,40.27248816,32.7219811,5.2071637,53.1005594
2018-03-20,7.25737642,5.8750632,5.92445818,6.71716496,5.12843743,4.41264512,12.70801102,25.26829087,40.21337568,32.69659062,5.05589414,53.21254652
2018-03-21,7.26529068,5.80978472,5.8224589,6.71022574,5.16053028,4.53559808,12.4286082,25.19226743,40.33160064,32.25225722,5.1780734,52.76459804
2018-03-22,7.19406234,5.80162491,5.72045962,6.75186106,5.134856,4.49461376,12.4767811,24.41302717,38.6764512,31.85870478,5.1489831,50.2542201
2018-03-23,7.02786288,5.72002681,5.85645866,6.6269551,4.92946176,4.35799936,11.62893806,23.68130156,36.21906096,29.7703378,4.71844666,48.7610585
2018-03-26,7.07534844,5.67106795,5.76295932,6.592259,4.97439175,4.41264512,12.32262782,23.9473836,36.6919608,30.85578082,4.96862324,50.2542201
2018-03-27,7.0832627,5.74450624,5.68645986,6.62001588,5.11560029,4.45362944,12.48641568,24.17545392,37.48575696,32.10626196,5.46315834,51.17811384
2018-03-28,7.01203436,5.67922776,5.84795872,6.57838056,5.134856,4.49461376,12.25518576,23.42472245,37.51953552,31.77618572,5.31188878,49.3676554
2018-03-29,7.07534844,5.76082586,5.79695908,6.6269551,5.14127457,4.5424288,12.48641568,22.02779174,37.8742104,32.48711916,5.16643728,49.3676554
2018-03-30,7.2019766,5.80162491,5.83945878,6.70328652,5.11560029,4.5424288,12.53458858,22.17033569,38.34711024,33.5338875,5.2071637,51.0474622
2018-04-02,7.13866252,5.72818662,5.6949598,6.67552964,5.10276315,4.58341312,12.59239606,22.89255837,38.7186744,34.34154375,5.1198928,50.99146864
2018-04-03,7.19406234,5.67106795,5.43146166,6.57144134,5.02574031,4.55609024,12.26482034,22.0467976,36.91152144,33.34651125,5.25370818,50.860817
