date,工商银行,中国石化,招商银行,上汽集团,海螺水泥,格力电器,福耀玻璃,分众传媒,双汇发展,华域汽车,老板电器,索菲亚,晨光股份,健帆生物,罗莱生活
2018-01-02,3.94177086,3.64390117,21.14628078,23.93866323,22.17378408,29.30022795,22.65518528,8.82678016,17.38123894,19.98290546,38.1180611,26.88452536,21.2881284,14.42327712,8.21638725
2018-01-03,3.92901432,3.70110527,21.39615243,23.75782347,21.97952064,29.62470445,22.38990208,8.64497858,17.4572779,19.70781428,38.00301665,27.62342352,20.9367543,14.6811588,8.12052
2018-01-04,3.87160989,3.9470829,21.16769835,23.83317337,22.2709158,30.22823074,22.45053824,8.56348132,17.82479954,19.6795998,37.72690997,27.41027982,20.739642,14.6811588,8.12052
2018-01-05,3.87798816,4.03860946,21.4889619,24.05168808,22.6525047,31.07186964,22.25347072,8.64497858,17.73608742,19.3269188,37.10566994,27.6376331,21.339549,14.4549468,7.9738995
2018-01-08,3.87160989,4.03288905,21.03919293,24.42090259,23.56831806,31.03942199,22.57939008,8.46944602,17.4889608,20.15924596,38.09505221,27.95734865,21.5195211,13.93013496,8.075406
2018-01-09,3.88436643,4.004287,21.25336863,24.44350756,23.15897724,32.0582782,22.46569728,8.42556288,17.31787314,19.7148679,38.80065817,27.74420495,21.4081098,13.58629272,8.35172925
2018-01-10,3.92901432,4.09009315,21.79594707,25.52101113,23.38793058,33.12905065,22.73856,8.50706014,18.09727248,19.8559403,39.54461228,27.14740259,21.6737829,13.4822352,7.89495
2018-01-11,3.96090567,4.05005028,22.07437548,25.49087117,21.67424952,32.9668124,22.57939008,8.36287268,17.70440452,19.48209844,38.44785519,27.32502234,22.0765776,13.60891392,8.391204
2018-01-12,3.98641875,4.09009315,22.49558769,25.55115109,21.89626488,34.5891949,22.27620928,8.4945221,17.85014586,19.62317084,40.2655575,27.02662116,21.853755,13.4369928,7.962621
2018-01-15,4.10122761,4.17017889,22.80257286,25.2422165,21.76444326,35.4328338,21.59405248,8.57601936,18.52182334,19.30575794,40.78709234,27.01241158,21.4423902,12.9393264,7.81036125
2018-01-16,4.20327993,4.06721151,22.76687691,24.35308768,22.22928792,35.28357461,21.88965376,8.6199025,18.79429628,19.0095059,40.98650272,27.708681,21.0995862,12.9845688,7.9738995
2018-01-17,4.28619744,4.02144823,22.62409311,24.51132247,21.84769902,33.77151412,21.3363488,8.59482642,18.28736988,18.63566404,39.8053797,27.37475587,20.8767636,13.26507168,7.96826025
2018-01-18,4.54770651,4.004287,23.07386208,24.51132247,22.28479176,33.91428378,21.44246208,8.463177,18.54716966,18.38173372,40.31924491,27.15450738,21.0567357,13.41889584,7.9964565
2018-01-19,4.54132824,4.02716864,23.17381074,24.73737217,22.57618692,33.38863185,21.53341632,8.2751064,18.20499434,18.31825114,39.3452019,26.29482779,20.1054546,13.45056552,8.1769125
2018-01-22,4.57321959,3.95280331,23.61644052,25.43059125,22.88839602,36.7307398,21.96544896,8.78916604,18.76894996,18.7626292,41.40833237,26.23798947,20.9881749,13.20625656,8.1317985
2018-01-23,4.77732423,4.02716864,24.30894195,25.59636103,22.99246572,36.85404087,21.84417664,9.39726098,18.66756468,19.00245228,41.23960051,27.708681,20.911044,12.9393264,8.14871625
2018-01-24,4.7199198,4.18734012,24.16615815,25.58882604,22.55537298,36.19210881,21.51067776,9.4348751,18.10994564,19.5032593,41.3393057,27.3534415,21.7252035,13.84869864,8.15999475
