date,工商银行,中国石化,招商银行,上汽集团,海螺水泥,格力电器,福耀玻璃,分众传媒,双汇发展,华域汽车,老板电器,索菲亚,晨光股份,健帆生物,罗莱生活
2018-01-02,1666202402552.3206,608703694643.47,611028897443.3318,350283095244.8289,127830494509.05486,269567657802.30908,59869285884.8456,81717783052.90488,90492127356.37273,81208215250.58974,46242513233.11211,23451844663.975082,5564160064.044181,3370900930.280068,10188421970.00741
2018-01-03,1660812708232.044,618258794196.2461,618248878070.2786,347635690225.4688,126710574164.52415,272553024002.84427,59168186687.408676,80034664842.52197,90888033389.26802,80090295571.91043,46102956935.02781,24096392312.89766,5472319889.654675,3431174335.648733,10069542574.196594
2018-01-04,1636550981120.6184,659348348170.1287,611647581938.4243,348738531619.19604,128390483167.65492,278105566708.39734,59328469770.27868,79280165427.85838,92801591632.66492,79975664537.94559,45768027534.967545,23910474057.257366,5420801216.926976,3431173113.9765825,10069540760.202003
2018-01-05,1639236830847.2468,674637485464.9664,620931955226.5751,351936879354.34094,130590309382.22511,285867164323.6227,58807672368.36908,80034669014.19858,92339786619.97862,78542307827.4206,45014359219.1099,24108797987.304638,5577598929.04878,3378305189.5590425,9887736710.259653
2018-01-08,1636540581307.535,673682865702.3025,607934853030.5404,357338392108.1916,135869867427.64377,285568676791.9872,59668952581.995735,78409550201.02367,91053062911.95044,81924814217.94788,46214614289.070694,24387684650.78734,5624639357.130139,3255650010.6971507,10013598879.571037
2018-01-09,1641930252443.154,668905343070.6282,614125103714.6656,357669659097.7444,133510097031.81468,294942395009.633,59368481664.86151,78003301356.65767,90162267323.53995,80118880064.6862,47070635567.9096,24201766549.251427,5595519943.556664,3175289711.72574,10356248393.115833
2018-01-10,1660812050207.028,683237437696.0516,629801648074.496,373436267231.8137,134829980738.52248,304793582374.80536,60089547810.70521,78757779671.73477,94220067808.38438,80692220226.4189,47973136770.73274,23681147166.107655,5664958134.164561,3150969940.846132,9789836839.515062
2018-01-11,1674302210111.514,676548429082.2407,637847436613.2705,372995494838.1722,124950703823.39056,303300887378.08997,59668928172.40753,77422894047.18303,92174754162.11618,79173013129.56375,46642612729.61706,23836111938.68998,5770240103.597718,3180575339.5951777,10405195909.941914
2018-01-12,1685072306986.3132,683238927696.0482,650019160712.3204,373876382990.3737,126230596525.93083,318227241187.8389,58867798216.78926,78641762702.91695,92933412216.79584,79746241220.84235,48847743358.95532,23575811976.300827,5711998131.058844,3140397274.3449893,9873749051.108994
2018-01-15,1733609506305.4268,696615588949.3729,658889328260.4631,369356822076.17017,125470714092.47627,325988954992.24005,57065087156.40591,79396217889.85893,96430465501.50185,78456372885.32632,49480430461.99241,23563398245.938393,5604479328.698347,3024084705.7776814,9684944431.49779
2018-01-16,1776746999894.1492,679415660011.0509,657856614991.5627,356346186594.3758,128150471129.46947,324615621359.1382,57846279076.770706,79802501037.13632,97849034791.22441,77252447736.65366,49722332177.19306,24170771457.674366,5514880371.378793,3034658168.970673,9887734840.644814
2018-01-17,1811794306069.9067,671770896526.6412,653731628341.8806,358661448438.34106,125950627214.54692,310704346594.1868,56384066916.50424,79570358962.81415,95209878864.10658,75733172278.5184,48289505281.18272,23879476635.684708,5456641235.665809,3100216653.7505174,9880724832.019547
2018-01-18,1922332859041.7837,668903632324.0796,666727798309.0681,358661553360.12,128470421287.9265,312017765104.60864,56664510491.20112,78351522396.3269,96562467197.02849,74701255476.99347,48912908112.93748,23687361807.618065,5503681753.011464,3136166518.613867,9915712295.200115
2018-01-19,1919635387664.6272,672726520488.1199,669615610424.7019,377657301262.3621,130150292370.7138,307181735947.1181,56904809735.220474,76610414025.51389,94780908365.48204,74443241319.47041,47731228321.192314,22937448890.367786,5255038671.432338,3143566469.7343526,10139467998.032778
2018-01-22,1933117875665.9521,660304313163.8943,682405278548.494,388240749734.5862,131950204859.86607,337929794708.24365,58046521195.10954,81369499452.50716,97717030389.02296,76249115033.37648,50234081936.54113,22887852260.9053,5485759702.235563,3086470161.029095,10083533389.304943
2018-01-23,2019395430405.7227,672726754094.6866,702415991002.9673,390771775520.522,132550084864.05443,339064344067.9973,57726106997.084015,86999211230.36292,97189155261.17657,77223726406.76817,50029409313.96397,24170766794.631626,5465599674.862833,3024085822.0323496,10104515237.156363
2018-01-24,1995126575637.7236,699482769589.226,698290082876.4156,390656491324.40424,130030381074.2385,332974326564.1812,56844715987.2138,87347449117.62665,94286013917.64455,79258966825.68404,50150376040.21484,23860884026.215935,5678398200.233528,3236616792.9148455,10118505640.67415
