date,长江电力,大秦铁路,上海机场,中国神华,农业银行,伊利股份,万华化学,比亚迪,京东方A,东方财富,科大讯飞,中科曙光,紫光国微,四维图新
2018-01-02,11.74969076,5.49646086,42.2196936,13.56453319,2.3975952,23.87933415,29.9039286,21.156288,4.96742868,4.252404,39.59987859,20.04799986,33.04242063,17.5589883
2018-01-03,12.01263141,5.59278438,41.8868807,13.27968369,2.41627776,24.37261617,29.9039286,21.2430336,5.00210532,4.33090992,40.534794,20.90663911,34.44922566,18.0235118
2018-01-04,11.90745515,5.57472372,41.9344254,13.15434991,2.41005024,24.97800774,29.9039286,20.899264,4.95875952,4.2687594,41.14935378,20.89191958,34.86216843,17.9704234
2018-01-05,12.02765659,5.66502702,41.9819701,13.47907834,2.41005024,24.98548171,29.9039286,20.6840064,4.83739128,4.27203048,40.50210465,20.89682609,33.7353246,17.4528115
2018-01-08,12.00511882,5.88175494,40.91696882,14.28805092,2.40382272,25.08264332,29.9039286,20.9506688,4.83739128,4.3178256,40.05099162,20.29332536,32.99342742,17.8111582
2018-01-09,12.11780767,5.93593692,41.61112144,14.12283821,2.38514016,25.85246223,29.9039286,21.0181376,5.21016516,4.252404,40.22751411,20.49449227,32.85344682,17.5058999
2018-01-10,12.14785803,5.94195714,41.6491572,14.19120209,2.43496032,25.87488414,29.9039286,21.0984576,5.27951844,4.252404,39.46912119,19.48865772,32.3355186,17.33999865
2018-01-11,12.26054688,5.88777516,41.30683536,13.83229172,2.48478048,25.58339931,29.9039286,21.011712,5.27951844,4.3505364,43.41799467,20.08725194,32.895441,18.0766002
2018-01-12,12.23049652,5.8697145,41.78228236,13.87786764,2.49723552,26.02436354,29.9039286,21.5514624,5.26218012,4.32763884,42.37847334,19.39052752,31.9155768,17.53908015
2018-01-15,12.29810983,5.8095123,43.4083111,13.39932048,2.56573824,25.70298283,29.9039286,20.9281792,5.43556332,4.12810296,42.50269287,17.96273311,28.85000166,16.7095739
2018-01-16,12.06521954,5.81553252,43.70308824,13.23410777,2.5844208,25.81509238,29.9039286,20.818944,5.53959324,4.13137404,43.23493431,17.99217217,28.52104725,16.3644993
2018-01-17,12.11029508,5.82155274,43.15156972,13.40501747,2.62801344,25.85246223,29.9039286,20.4816,5.51358576,4.31128344,40.24058985,18.00198519,29.06697159,16.1521457
2018-01-18,12.07273213,5.8095123,42.79023,13.39932048,2.72142624,25.59834725,29.9039286,20.2952576,5.51358576,4.29819912,40.12290819,17.8106313,27.99612,15.9132479
2018-01-19,12.0952699,5.96603802,42.41938134,13.76392784,2.78370144,25.12001317,29.9039286,20.304896,5.7649914,4.4650242,40.31250642,17.78609875,27.70216074,15.9397921
2018-01-22,12.08775731,6.09246264,42.70464954,13.92344356,2.71519872,26.15142103,29.9039286,21.397248,5.7649914,4.69727088,40.48902891,18.24240418,28.03111515,16.41095165
2018-01-23,12.11780767,6.09246264,44.71103588,14.22538403,2.78992896,26.50269762,29.9039286,21.4647168,5.62628484,4.79540328,40.22097624,18.46810364,28.11510351,16.23841435
2018-01-24,12.02765659,6.09246264,44.77759846,14.12283821,2.82106656,26.19626485,29.9039286,21.3683328,5.6782998,5.23045692,40.89437685,20.15594308,30.0258387,17.52580805
2018-01-25,12.07273213,6.02624022,44.37822298,14.32792985,2.82729408,25.7104568,29.9039286,21.0888192,5.48757828,5.22718584,39.84831765,20.02837382,29.395926,17.0679206
2018-01-26,12.06521954,6.15266484,44.57791072,14.4133847,2.78992896,25.88983208,29.90390296,21.04384,5.44423248,5.36130012,39.36451527,20.26879281,29.14396092,17.14091715
2018-01-29,11.91496774,6.06236154,43.43683792,14.88623487,2.80861152,25.01537759,29.90390296,20.208512,5.23617264,5.25989664,39.28606083,19.37580799,27.80714619,16.3114109
2018-01-30,11.86237961,6.05634132,43.86474022,14.7552041,2.75256384,24.91074201,29.90390296,20.385216,5.26218012,5.19447504,39.2925987,19.60150745,27.42919857,16.324683
2018-01-31,11.9450181,5.8095123,44.58741966,15.03435661,2.77747392,25.4862377,29.90390296,20.2534912,5.27084928,5.00148132,35.93213352,18.66927055,25.60945077,15.8601595
2018-02-01,12.14034544,5.8697145,45.33862592,15.28502417,2.80861152,25.87488414,29.90390296,19.4888448,4.91541372,4.9556862,34.26497667,18.55151431,25.4764692,15.1567382
