date,长江电力,大秦铁路,上海机场,中国神华,农业银行,伊利股份,万华化学,比亚迪,京东方A,东方财富,科大讯飞,中科曙光,紫光国微,四维图新
2018-01-02,0.293947,0.605078,0.546129,0.229767,0.271554,1.011234,,1.116903,2.387454,1.476185,2.8058,2.490487,5.322126,2.257126
2018-01-03,0.365741,0.640142,0.841112,0.297302,0.104521,0.991081,,1.334491,2.719111,2.704735,3.628051,4.160033,7.713564,5.051825
2018-01-04,0.235547,0.385203,0.53925,0.276222,0.107171,1.538638,,1.040267,1.73039,1.830247,3.393902,3.319256,8.865903,3.734919
2018-01-05,0.229629,0.66034,0.48576,0.314354,0.083459,0.875157,,0.921259,2.985407,1.872584,2.519795,4.083061,5.252733,3.499207
2018-01-08,0.20622,1.127353,0.928036,0.563319,0.079112,0.838207,,1.201232,3.013241,2.974221,2.470967,2.952261,5.49993,4.807961
2018-01-09,0.230775,0.788559,0.750973,0.278257,0.085926,1.166582,,0.828486,6.070305,1.789373,2.033264,1.984435,3.030113,3.26418
2018-01-10,0.138127,0.619244,0.440668,0.328784,0.142584,0.798212,,0.828097,5.116349,1.676068,2.391007,3.706412,3.725786,2.6827
2018-01-11,0.163574,0.467578,0.38043,0.282321,0.13625,0.543184,,0.670267,2.584836,3.852598,7.695148,3.30713,4.009244,5.798583
2018-01-12,0.123788,0.375624,0.381357,0.18509,0.117426,0.821834,,1.72163,2.419255,2.78181,5.137789,2.26482,3.47557,3.638862
2018-01-15,0.223026,0.704543,1.103277,0.237672,0.187555,1.109245,,1.334323,5.251597,2.699271,4.394262,4.063464,7.64336,4.678767
2018-01-16,0.317933,0.610725,1.045084,0.311094,0.286668,1.454765,,0.842633,3.265808,2.72975,4.088841,3.233573,3.828708,4.007884
2018-01-17,0.266118,0.699443,0.684147,0.287006,0.290664,1.371561,,1.023647,4.468395,5.166952,5.625826,3.729384,5.323215,3.680944
2018-01-18,0.27738,0.668442,0.860525,0.330654,0.274662,1.332117,,0.647451,2.173869,2.353678,2.195572,1.876206,3.015002,1.797809
2018-01-19,0.21636,0.932575,0.429922,0.445796,0.206076,1.219232,,0.460059,4.811167,5.720092,1.890579,2.06318,2.682979,1.85111
2018-01-22,0.214636,0.989245,0.540798,0.32581,0.272508,1.323913,,1.516754,3.031254,6.984506,2.712782,3.11944,3.062788,2.759319
2018-01-23,0.372502,0.80796,1.36816,0.34087,0.555952,0.937895,,1.085082,3.393648,5.613257,1.877748,2.421472,2.344421,1.546037
2018-01-24,0.238261,0.595174,0.659604,0.271363,0.411453,0.618738,,0.671302,4.295324,11.5854,3.398002,5.248942,6.024785,5.645443
2018-01-25,0.189269,0.544414,0.500713,0.314507,0.252741,0.69319,,0.71016,2.593265,10.909803,3.023508,4.481623,3.524021,3.443972
2018-01-26,0.116846,0.520578,0.571107,0.230989,0.636717,0.646338,,0.558349,2.080011,7.167365,2.221953,2.897924,2.332062,2.528156
2018-01-29,0.211592,0.658229,0.572827,0.490474,0.315342,1.002935,,1.100024,4.200585,6.351449,2.317841,4.010611,3.310267,3.305644
2018-01-30,0.209502,0.368019,0.540159,0.310034,0.184175,0.898596,,0.490868,1.804274,4.789516,1.488968,2.251288,1.956265,1.181681
2018-01-31,0.147342,0.884683,0.347177,0.242773,0.170605,0.76073,,0.476995,1.663157,7.184813,4.764232,2.96257,3.982881,1.955759
2018-02-01,0.291445,0.634928,0.671237,0.349234,0.245928,0.90956,,1.115525,4.456719,6.323569,3.290026,3.206031,2.723405,2.363997
2018-02-02,0.236338,0.364958,0.673929,0.519674,0.166564,0.623751,,0.612484,2.239248,6.576672,2.348983,3.344219,2.336379,1.483483
2018-02-05,0.209105,0.517406,0.650561,0.570948,0.336216,1.457902,,0.356753,1.619774,4.53676,1.89522,3.090695,1.973011,1.244326
2018-02-06,0.454731,0.941815,1.099155,0.502808,0.372128,2.158877,,0.91349,2.714611,6.683125,4.199397,4.375063,2.96214,3.99406
2018-02-07,0.365065,0.661393,0.748214,0.532615,0.381509,1.575853,,0.721101,2.405537,7.245183,2.790246,2.956863,3.344823,4.436122
2018-02-08,0.260425,0.58988,0.783319,0.499407,0.322931,0.855735,,0.403857,2.087637,4.184433,2.975922,2.479316,3.315466,2.43069
2018-02-09,0.470267,0.81228,1.204035,0.499769,0.35472,1.724176,,0.817652,3.104954,7.13338,2.725466,2.976841,3.008085,2.626039
2018-02-12,0.25937,0.346442,0.554896,0.289893,0.193288,0.798841,,0.707308,1.949203,4.943207,2.82309,2.454287,2.961779,2.241073
2018-02-13,0.13424,0.244909,0.61299,0.249021,0.218769,0.753792,,0.483872,2.192773,4.046142,2.142198,2.500246,2.795315,2.032518
2018-02-14,0.113976,0.206584,0.363867,0.185329,0.08965,0.397079,,0.491088,1.052464,2.844108,1.318516,1.861467,1.886998,1.139123
2018-02-22,0.108517,0.254437,0.526435,0.238193,0.182959,0.924455,,0.855752,1.600201,3.992453,3.191132,3.133948,4.585651,2.222397
2018-02-23,0.154561,0.214378,0.42567,0.221326,0.11453,0.596018,,0.52565,1.480673,2.99373,2.005387,2.320086,7.641887,1.948414
2018-02-26,0.164317,0.199622,1.085636,0.248796,0.230633,0.653234,,1.37143,3.423182,4.722101,3.493884,5.151385,7.39149,4.157664
2018-02-27,0.182599,0.242051,0.911791,0.328509,0.216947,0.861533,,0.884194,1.980841,4.23759,2.6674,5.720197,5.713119,3.2035
2018-02-28,0.124745,0.205846,0.577972,0.224531,0.135453,0.906781,,0.679688,1.420797,4.129294,2.474417,4.519278,5.335114,4.066674
2018-03-01,0.117152,0.21375,0.497032,0.221887,0.116075,0.676765,,0.658284,1.551751,5.320693,3.655117,6.497138,7.85533,5.182082
2018-03-02,0.1784,0.182709,0.670288,0.195745,0.096096,0.706169,,0.520734,1.331853,4.064118,2.305034,5.801552,5.736586,5.279815
2018-03-05,0.140724,0.158635,0.571602,0.155521,0.130003,0.602793,,1.313369,1.093886,2.587078,2.434119,5.898786,7.933018,4.117231
2018-03-06,0.108947,0.179956,0.419977,0.255769,0.365518,1.101884,,1.314957,3.219389,4.347481,4.60508,5.730451,7.069489,6.562896
2018-03-07,0.132781,0.250231,0.400506,0.144612,0.20613,1.622984,,0.834044,1.879458,2.484738,2.398473,4.050285,6.607682,3.712588
2018-03-08,0.176398,0.228027,0.304404,0.172519,0.175033,2.154615,,0.564877,1.120186,1.768195,2.304157,3.684147,4.678853,3.088224
2018-03-09,0.087106,0.267484,0.472764,0.190848,0.129403,1.446979,,0.768797,3.190913,7.895076,2.948346,5.662409,5.654443,4.042639
2018-03-12,0.208117,0.247764,0.585443,0.236385,0.218267,1.865932,,1.205233,2.82988,5.896541,4.636109,4.617282,5.590899,3.726813
2018-03-13,0.095124,0.16519,0.385877,0.16789,0.35204,1.42228,,1.037586,1.724631,4.778283,4.048716,5.905659,6.089447,3.670024
2018-03-14,0.092756,0.123707,0.344063,0.188386,0.135376,0.749998,,0.876551,1.602865,4.798292,5.007303,5.533131,5.832911,3.602386
2018-03-15,0.093358,0.14877,0.199141,0.167019,0.131207,1.070492,,0.68568,1.547043,5.690641,3.705948,4.976532,6.710589,3.079606
2018-03-16,0.096382,0.152757,0.362604,0.146039,0.120936,1.049965,,0.601008,1.480382,7.72692,3.08212,3.748012,5.245969,3.718922
