date,中通客车,包钢股份,中国软件,浪潮信息,三六零,赛力斯,鸿博股份,用友网络,美的集团,海尔智家,中国平安,长城汽车,兆易创新,复旦复华
2018-01-02,4.362304,0.370376,0.53416,2.575339,6.072021,1.251871,1.217762,0.42545,0.519303,0.681745,1.141144,0.441095,,0.379051
2018-01-03,4.504321,0.3032,0.605641,2.818747,4.54377,1.377513,2.281305,0.587802,0.674627,1.003777,1.656153,0.331051,,0.625512
2018-01-04,2.605307,0.284922,0.397279,2.479312,1.768512,1.310559,2.964021,0.424842,0.638598,0.929681,0.979591,0.23485,,0.580858
2018-01-05,2.131939,0.215956,0.442898,2.12371,18.289779,1.399551,2.380747,0.553145,0.5855,0.944462,0.712729,0.208975,,0.770476
2018-01-08,2.362418,0.475777,0.468543,3.766547,10.273457,2.067471,2.980622,0.895275,0.579199,1.606671,1.134282,0.394133,,0.494285
2018-01-09,3.85671,0.381738,0.435348,1.47657,7.136497,1.863329,2.116958,0.517811,0.705382,1.352021,1.144216,0.272003,,0.949033
2018-01-10,2.156432,0.259688,1.08614,2.046757,9.691655,3.406459,2.399208,0.868412,0.706819,1.409993,0.764468,0.475182,,0.59108
2018-01-11,1.709603,0.252666,2.647376,2.709594,9.842623,1.65646,3.823598,1.296855,0.497446,1.11562,1.012022,0.159695,,0.396498
2018-01-12,4.675463,0.308818,1.475108,1.850476,6.481492,1.410046,4.403735,1.847543,0.398035,0.971546,1.18407,0.164513,,0.29684
2018-01-15,3.066259,0.341212,1.220288,2.551143,6.838646,1.405303,2.969383,0.899059,0.577911,1.703765,1.852359,0.132712,,0.597578
2018-01-16,2.458063,0.213585,0.596064,3.257152,5.308901,1.167037,1.539689,0.740719,0.455348,2.043383,1.386218,0.141827,,0.3494
2018-01-17,1.988184,0.229481,1.061253,1.984597,5.096015,0.976547,1.973967,1.148126,0.651471,1.735638,1.304918,0.150948,,0.550942
2018-01-18,0.971828,0.334448,0.364891,0.947373,5.714927,1.699746,0.965553,0.379458,0.352081,1.38697,1.915015,0.208073,,0.344839
2018-01-19,1.430214,0.234829,0.512915,1.145029,4.587297,1.26072,1.59476,0.405785,0.493764,1.047946,1.434374,0.139767,,0.498578
2018-01-22,1.408184,0.28355,1.287429,1.466444,4.014007,0.978646,1.559613,0.59251,0.721227,1.697132,1.122423,0.120248,,0.568661
2018-01-23,0.941798,0.194888,0.612196,1.344371,2.574016,1.396932,0.807847,0.736816,0.607871,1.282225,1.772323,0.120276,,0.356765
2018-01-24,1.68753,0.211463,0.910204,1.619002,3.525884,1.238688,1.627479,1.093458,0.512924,0.99197,1.559303,0.086569,,0.563028
2018-01-25,1.19291,0.692129,0.860793,1.384936,3.129144,1.490248,1.658829,0.543177,0.444396,1.299969,1.139513,0.151621,,1.426231
2018-01-26,1.094818,0.292245,0.645757,1.359332,2.940502,1.389773,1.473151,0.579326,0.524501,1.071303,1.03903,0.104697,,3.586954
2018-01-29,1.019737,0.419356,1.842378,1.46253,6.195187,1.258429,2.027552,0.646732,0.734539,1.258147,1.401173,0.245442,,2.379248
2018-01-30,0.784912,0.252645,2.107879,0.890565,9.416182,1.083397,14.090816,0.770882,0.486733,0.848421,0.801111,0.163345,,0.837597
2018-01-31,1.28711,0.321394,1.624625,1.068612,9.374534,1.787788,15.577061,0.956953,0.399507,1.018604,0.862878,0.145683,,0.88407
2018-02-01,1.985586,0.453466,3.043434,1.584833,5.506917,2.020204,10.027437,0.91885,0.597516,1.195626,1.306939,0.331712,,1.621507
2018-02-02,1.00943,0.424451,1.922894,0.916079,6.41298,10.876493,8.822463,1.13534,0.353587,0.87259,0.930134,0.128426,,1.213368
2018-02-05,0.695002,0.441404,1.245626,0.646995,9.070274,2.607417,7.00195,0.815678,0.871959,1.36371,0.875181,0.125618,,0.494925
2018-02-06,1.299985,0.535497,2.156526,1.526056,8.803313,1.941104,13.469256,1.203852,1.38403,1.486311,1.892117,0.224349,,1.08239
2018-02-07,0.797227,0.388004,2.105228,1.220457,9.760661,1.180582,9.79274,1.799398,0.838705,1.280364,1.613491,0.154842,,0.649525
2018-02-08,0.654991,0.29406,1.45361,1.053817,9.260207,0.826198,8.02826,1.655821,0.691249,0.88549,1.412495,0.125344,,0.400539
2018-02-09,1.012644,0.762941,1.880404,1.153332,8.567953,1.295083,7.646356,1.314177,0.948726,1.216766,2.300477,0.203478,,0.573514
2018-02-12,0.989023,0.319288,1.561618,1.002976,4.654313,0.796167,3.855633,1.243243,0.588631,0.884676,0.95047,0.076962,,0.366458
2018-02-13,0.832102,0.218182,2.392932,2.992868,5.668486,0.676778,4.255364,3.735167,0.406858,0.72635,1.059718,0.103314,,0.368642
