date,招商银行,工商银行,兴业银行,长江电力,华能国际,国投电力,贵州茅台,伊利股份,海天味业,中际旭创,韦尔股份,立讯精密,恒瑞医药,片仔癀,云南白药,紫金矿业,北方稀土,保利发展,万科A,格力电器
2018-01-02,1.70537,1.099704,0.936371,2.639564,1.340918,1.666706,10.481447,8.03002,13.373934,6.591032,17.037465,6.02818,13.406271,9.793194,6.099876,3.144755,6.108331,1.840987,3.088637,4.633098
2018-01-03,1.725521,1.096145,0.934199,2.698634,1.351611,1.693625,10.660295,8.195899,13.36638,6.582062,16.624362,6.2714,13.437507,9.817106,6.05881,3.158398,6.091833,1.818321,3.066819,4.684405
2018-01-04,1.707097,1.08013,0.933656,2.675006,1.345195,1.686895,10.976145,8.399477,13.960665,6.465446,18.288804,6.355088,13.777203,10.118986,6.151061,3.199327,6.166073,1.827136,3.141758,4.779838
2018-01-05,1.733006,1.081909,0.934199,2.702009,1.349473,1.689138,10.995356,8.40199,13.713885,6.441899,17.606985,6.237401,13.728396,10.121975,6.075474,3.158398,6.03409,1.925355,3.297329,4.913238
2018-01-08,1.696734,1.08013,0.935285,2.696946,1.35375,1.698111,11.200413,8.434663,13.585459,6.380227,18.012066,6.145867,13.91191,10.323727,6.183795,3.308473,6.223816,1.96691,3.414006,4.908108
2018-01-09,1.714006,1.083688,0.933112,2.722261,1.343057,1.646517,11.652968,8.693534,14.046282,6.662796,17.534792,6.302783,14.583493,10.772065,6.326635,3.281187,6.310429,1.976984,3.399777,5.069214
2018-01-10,1.757763,1.096145,0.987426,2.729012,1.325948,1.659977,11.700472,8.701074,14.393788,6.883693,17.406449,6.093562,14.622538,10.824371,6.224266,3.288008,6.269185,1.997131,3.383651,5.23853
2018-01-11,1.780218,1.105042,0.979279,2.754328,1.325948,1.651004,11.538154,8.603055,14.232626,6.908362,17.217946,6.109253,14.499545,10.875183,6.052263,3.219792,6.22794,1.987057,3.334324,5.212876
2018-01-12,1.814187,1.11216,0.973848,2.747577,1.340918,1.637544,11.740829,8.75134,14.381197,6.920696,17.330246,6.090947,14.565922,11.063485,6.090354,3.165219,6.11658,1.976984,3.372268,5.469415
2018-01-15,1.838944,1.14419,0.97765,2.762766,1.313116,1.612869,11.695409,8.643268,14.572577,6.84669,15.818211,5.871264,14.542495,10.900589,6.117731,3.212971,5.778374,2.090314,3.518352,5.602816
2018-01-16,1.836065,1.172661,0.971132,2.710447,1.310977,1.612869,11.510307,8.680967,14.716112,6.638127,15.87035,5.635891,14.661584,11.200975,6.248073,3.206149,5.827867,2.22631,3.813366,5.579214
2018-01-17,1.82455,1.195794,0.996117,2.720574,1.317393,1.612869,11.137868,8.693534,14.418969,6.6841,16.355645,5.758808,14.357029,10.830349,6.124278,3.042431,5.72888,2.257791,3.772576,5.34012
2018-01-18,1.860823,1.268752,0.998289,2.712135,1.310977,1.621842,11.179713,8.608081,14.17219,6.694192,15.794147,5.931416,14.292102,11.02164,6.068332,3.056074,5.848489,2.212459,3.771628,5.362695
2018-01-19,1.868883,1.266972,0.991228,2.717198,1.351611,1.619599,11.171374,8.44723,14.282989,6.643733,15.481312,6.054333,14.598362,10.899094,6.028456,3.076539,5.869112,2.1772,3.739376,5.279576
2018-01-22,1.90458,1.27587,0.972218,2.715511,1.347334,1.633058,11.520731,8.794066,14.434078,6.638127,14.823557,6.015104,14.996892,11.459517,6.212363,3.110647,5.95985,2.207422,3.74981,5.808047
2018-01-23,1.960427,1.332812,0.992858,2.722261,1.347334,1.624085,11.522816,8.912192,14.376161,6.671766,15.164467,5.92357,15.055788,11.452044,6.228433,3.144755,6.058837,2.235125,3.887357,5.827544
2018-01-24,1.948912,1.316797,1.014583,2.702009,1.358027,1.642031,11.384026,8.809146,14.091609,7.236904,15.553505,5.889571,15.326709,11.351916,6.165345,3.08336,5.980472,2.246458,3.901586,5.722876
2018-01-25,1.923579,1.3079,1.009152,2.712135,1.360166,1.637544,11.454017,8.645781,13.993401,7.193173,15.064199,5.962799,14.932106,11.239831,6.063571,3.342581,5.988721,2.153275,3.813366,5.684908
2018-01-26,1.927034,1.311459,1.015126,2.710447,1.355889,1.642031,11.574043,8.7061,14.476887,7.158413,14.550829,5.753578,15.146095,11.4102,6.084402,3.328938,5.864987,2.164608,3.798189,5.89014
2018-01-29,1.898822,1.322135,1.028705,2.676693,1.385829,1.633058,10.964977,8.412043,13.728994,6.66616,14.398422,5.669889,14.378483,10.970828,5.905852,3.438083,5.864987,2.138164,3.658745,5.723902
2018-01-30,1.875216,1.295444,1.00535,2.664879,1.411493,1.633058,11.050752,8.376857,13.517469,6.862388,14.246016,5.662043,14.547319,10.902083,5.941562,3.369867,5.831992,2.08024,3.449104,5.577162
2018-01-31,1.954094,1.331033,1.014583,2.683444,1.349473,1.612869,11.385217,8.570382,14.192335,6.67513,13.01473,5.688196,14.859468,10.952895,6.018338,3.499478,5.543279,2.169645,3.562936,5.740321
2018-02-01,1.983457,1.366622,1.025446,2.727324,1.302423,1.585951,11.283806,8.701074,14.026137,6.537209,13.038794,5.688196,14.57284,10.57928,5.943942,3.46537,5.328807,2.213718,3.557245,5.703379
2018-02-02,1.986336,1.352386,1.018928,2.7307,1.302423,1.610626,11.025734,8.716154,14.194853,6.797352,12.304836,5.954953,14.582656,10.852766,5.925492,3.670017,5.473163,2.319493,3.545861,5.694144
2018-02-05,2.00879,1.379078,1.054232,2.749265,1.302423,1.608383,10.695588,8.298944,13.85742,6.593275,11.574888,6.041257,14.404005,10.822877,5.718969,3.690482,5.431919,2.353492,3.508866,5.546377
2018-02-06,1.993245,1.347048,1.040111,2.749265,1.289591,1.572491,10.556054,8.296431,12.991174,6.381348,10.612319,5.858188,13.548049,10.337178,5.679093,3.615445,5.007099,2.270383,3.39788,5.481729
2018-02-07,1.864853,1.268752,1.033593,2.745889,1.302423,1.570248,10.17736,7.921948,12.960956,6.234457,11.213925,5.949722,13.288907,10.272916,5.417219,3.492656,5.023597,2.057574,3.128478,5.159516
2018-02-08,1.800945,1.213589,0.99666,2.737451,1.296007,1.556789,10.438857,7.919435,13.134709,6.61458,12.336921,5.97326,13.567681,10.507546,5.594579,3.199327,5.163828,1.973206,3.10666,5.233399
2018-02-09,1.768127,1.188676,0.966244,2.695258,1.24468,1.493979,10.17736,7.854089,12.986138,6.657189,12.316868,5.947107,13.263385,10.42834,5.469593,2.981036,4.870992,1.786841,2.966268,5.074345
2018-02-12,1.730127,1.17622,0.957554,2.632813,1.266066,1.505195,10.386587,7.954621,13.431852,6.841083,12.713927,6.211249,13.932837,10.852766,5.587437,2.99468,5.007099,1.825877,3.026029,5.285733
2018-02-13,1.779642,1.21003,0.966787,2.659816,1.298146,1.500709,10.602515,8.117986,13.426815,6.806323,12.220611,6.198172,13.98388,10.749648,5.593984,3.015144,5.007099,1.902689,3.104763,5.377061
2018-02-14,1.806126,1.224265,0.962442,2.698634,1.287453,1.500709,10.698864,8.10542,13.562796,6.867995,11.93184,6.313244,14.121304,10.815405,5.611243,3.131111,5.019472,1.914022,3.146501,5.565874
2018-02-22,1.813611,1.245619,0.985254,2.718886,1.289591,1.523141,11.056262,8.608081,14.106718,7.249238,12.746013,6.498928,14.227317,10.96784,5.725516,3.2539,5.295811,1.942984,3.196777,5.642836
2018-02-23,1.829732,1.247398,0.98634,2.742514,1.29173,1.534357,11.056709,8.542735,13.932965,7.421919,12.762056,6.328935,14.386336,11.073946,5.761821,3.288008,5.291687,1.969428,3.293534,5.547403
2018-02-26,1.814187,1.249178,0.991228,2.769517,1.304562,1.547816,11.072047,8.590488,13.922892,7.837924,13.760721,6.642767,14.67689,11.171086,5.774319,3.335759,5.361803,1.900171,3.24231,5.607946
2018-02-27,1.777339,1.20825,0.981995,2.791457,1.323809,1.550059,10.989697,8.467336,13.849866,7.787465,13.836924,6.559079,14.462901,11.076935,5.661238,3.206149,5.258691,1.827136,3.120889,5.337041
2018-02-28,1.744521,1.186897,0.970046,2.779643,1.323809,1.54333,10.805637,8.155686,13.925411,7.823347,13.580239,6.404778,14.22928,10.891622,5.552917,3.137933,5.398923,1.842246,3.101917,5.304204
2018-03-01,1.750279,1.190456,0.977107,2.783019,1.33878,1.545573,11.049114,8.145633,13.922892,7.832317,14.021416,6.634921,14.564987,10.91105,5.648739,3.192506,5.38655,1.851061,3.074408,5.292916
2018-03-02,1.728976,1.188676,0.971675,2.826899,1.390107,1.550059,10.966317,8.110446,14.099163,8.050972,13.600293,6.509389,14.482533,11.079924,5.724921,3.144755,5.489661,1.863653,3.062076,5.38527
2018-03-05,1.735885,1.178,0.973848,2.842088,1.387968,1.570248,10.723584,8.138093,14.126863,8.094702,14.225962,6.436161,14.619957,11.571601,5.762416,3.144755,5.49791,1.871209,3.05259,5.298047
2018-03-06,1.729552,1.165543,0.974934,2.811709,1.417909,1.590437,10.696035,8.040074,14.157081,7.962388,14.434519,6.548618,14.957628,11.78232,5.871927,3.131111,5.629893,1.958095,3.193931,5.322675
2018-03-07,1.771581,1.179779,0.980366,2.813397,1.41577,1.59268,10.573626,7.776176,13.988364,8.19562,14.683182,6.37601,14.802535,11.930272,5.838598,3.097004,5.514408,1.940466,3.120889,5.307283
2018-03-08,1.780218,1.165543,0.981995,2.860653,1.501315,1.628572,10.763047,7.916921,14.136936,8.483795,14.566872,6.410009,15.36401,12.369643,6.011196,3.288008,5.576275,1.956836,3.191086,5.455049
2018-03-09,1.79346,1.165543,0.981995,2.86234,1.497038,1.630815,10.844057,7.813876,14.852092,8.464733,15.425162,6.611384,15.585852,12.293425,5.969535,3.2539,5.568026,1.920318,3.174011,5.442735
2018-03-12,1.775612,1.153087,0.974391,2.81846,1.494899,1.635301,10.780768,7.766123,14.751366,8.691237,16.066875,6.752608,15.699718,12.275492,6.016553,3.281187,5.65464,1.834691,3.094328,5.468389
2018-03-13,1.769278,1.156646,0.971132,2.81846,1.484206,1.630815,10.578242,7.874195,14.610349,8.543225,15.766072,6.616614,15.471986,11.948205,5.892163,3.2539,5.518532,1.829654,3.081048,5.438631
2018-03-14,1.749703,1.145969,0.95864,2.81846,1.507855,1.626328,10.8244,7.889275,14.600277,8.443428,15.605644,6.616614,15.687938,11.9497,5.856453,3.328938,5.69176,1.834691,3.101917,5.354486
2018-03-15,1.757188,1.149528,0.960269,2.810022,1.503541,1.615112,11.116126,8.05264,15.126572,8.566772,14.943878,6.700303,16.233708,12.312853,6.020124,3.301651,5.724756,1.83721,3.098123,5.520723
2018-03-16,1.734733,1.131734,0.947234,2.810022,1.447454,1.603896,11.017544,7.786229,14.955337,8.824672,14.651097,6.700303,16.088431,12.007983,5.976081,3.219792,5.57215,1.839728,3.095277,5.481729
2018-03-19,1.768127,1.138852,0.947234,2.810022,1.484126,1.608383,11.220516,7.70329,14.88231,8.858311,15.000028,6.695072,16.95224,12.193296,6.070713,3.12429,5.493786,1.77173,2.995674,5.431447
2018-03-20,1.784248,1.161984,0.949407,2.815085,1.503541,1.615112,11.13489,7.758583,15.035918,8.970442,15.188531,6.66892,17.176045,12.61324,6.159988,3.117468,5.440168,1.754101,2.972908,5.356538
2018-03-21,1.799793,1.154867,0.949407,2.806646,1.477655,1.597167,11.049561,7.658051,15.249961,8.862797,14.931846,6.642767,16.983651,12.581856,6.063571,3.151576,5.320558,1.764174,3.003263,5.30523
2018-03-22,1.798066,1.151308,0.947777,2.786394,1.451769,1.594923,10.812487,7.218222,15.096354,8.667689,15.665804,6.454468,16.861932,12.541506,6.0231,3.117468,5.34118,1.715065,2.95773,5.120522
2018-03-23,1.745097,1.121057,0.935285,2.783019,1.486283,1.572491,10.588815,7.112663,13.329827,8.173194,16.062864,6.240017,16.612606,12.543,5.996317,3.097004,4.978228,1.676029,2.947296,5.015854
2018-03-26,1.645541,1.071232,0.915189,2.762766,1.462555,1.559032,10.625002,6.861332,13.371195,8.53089,17.017411,6.237401,17.146597,12.900176,6.09571,3.017321,5.275189,1.64203,2.877099,4.938892
2018-03-27,1.623495,1.064114,0.917905,2.783019,1.44314,1.563517,10.643616,7.132769,13.833143,8.297659,17.378374,6.483236,17.022915,12.817981,6.109399,3.0774,5.345305,1.649585,2.580996,4.868087
2018-03-28,1.622364,1.044023,0.914103,2.732388,1.484126,1.545749,9.368786,6.76834,13.100002,7.871563,16.018746,6.498928,16.343647,12.801542,6.035003,2.997294,5.246318,1.647067,2.60679,4.670039
2018-03-29,1.656846,1.063227,0.918448,2.717198,1.471183,1.567958,9.465626,7.032237,13.185037,8.050972,15.766072,6.368164,16.255303,12.135013,5.930849,2.937215,5.345305,1.732694,2.842258,4.833198
2018-03-30,1.64441,1.063227,0.906499,2.703697,1.481969,1.579063,9.390351,7.160416,13.044844,8.561165,16.447891,6.323705,17.081811,12.401026,5.892163,2.903838,5.365927,1.696176,2.76987,4.812675
2018-04-02,1.639888,1.040531,0.899981,2.695258,1.445297,1.559075,9.341451,7.02721,12.865581,8.435579,16.235324,6.145867,16.661686,12.339754,5.698733,2.950566,5.390674,1.717583,2.786511,4.717242
2018-04-03,1.628582,1.026564,0.889661,2.678381,1.378425,1.543529,9.311918,7.165442,13.240195,8.29878,15.577569,6.237401,16.659723,12.178352,5.75944,2.897162,5.250442,1.703732,2.798991,4.732635
2018-04-04,1.625756,1.024818,0.886946,2.676693,1.365482,1.539087,9.533071,7.477092,13.646985,8.729361,15.766072,6.263554,16.512483,12.135013,5.70647,2.903838,5.254567,1.723879,2.7291,4.802413
2018-04-09,1.630278,1.023072,0.885859,2.705384,1.359011,1.554633,9.591999,7.188062,13.435546,8.825793,15.377034,6.114484,16.218003,12.65359,5.724325,2.857109,5.559777,1.694917,2.630919,4.691588
2018-04-10,1.712244,1.068465,0.906499,2.725637,1.341754,1.567958,9.725515,7.198115,13.644687,8.681145,15.570313,6.237401,16.561563,12.707391,5.842169,2.93054,5.551528,1.799433,2.677513,4.892715
2018-04-11,1.72355,1.089415,0.908671,2.739138,1.376268,1.585726,9.688977,7.396667,13.904388,8.733846,15.288271,6.250478,16.698987,12.62669,5.874308,3.017321,5.621644,1.830913,2.713291,4.937866
2018-04-12,1.691894,1.061481,0.896722,2.725637,1.356854,1.581284,9.535681,7.265975,14.095143,9.14153,15.46986,6.255708,16.830521,13.339547,5.628027,2.983943,5.473163,1.812025,2.650056,4.905029
2018-04-13,1.669848,1.052752,0.89455,2.690195,1.367639,1.585726,9.434857,7.130256,13.883704,8.990117,15.299861,6.206018,15.917633,12.983866,5.55528,2.917189,5.390674,1.765434,2.600133,4.869114
2018-04-16,1.589012,1.016089,0.872281,2.67163,1.356854,1.54797,9.359582,7.039777,13.626301,9.368649,15.110545,6.158943,15.35229,12.815986,5.476183,2.890487,5.337056,1.667214,2.498624,4.739818
2018-04-17,1.56527,1.010851,0.871195,2.698634,1.367639,1.552412,9.151067,6.989511,13.656178,8.431784,15.319179,5.939261,14.906228,12.416307,5.47907,2.810381,5.312309,1.529112,2.489472,4.647464
2018-04-18,1.590708,1.026564,0.874997,2.705384,1.341754,1.530203,9.006012,7.059883,13.78488,8.185738,16.370079,5.777115,15.121886,12.422141,5.390735,2.763652,5.378301,1.565159,2.499456,4.653621
2018-04-19,1.596361,1.033547,0.879342,2.691883,1.339596,1.505773,9.340077,7.276028,13.904388,8.268542,15.659176,5.842497,15.304366,12.471737,5.43115,2.850434,5.547404,1.562834,2.515265,4.884506
2018-04-20,1.594665,1.033547,0.877712,2.70876,1.31371,1.476901,9.206836,6.992024,13.821652,7.907755,15.462133,5.481076,15.48869,12.497993,5.450202,2.810381,5.314713,1.558182,2.508609,4.91016
2018-04-23,1.599187,1.051006,0.877712,2.723949,1.292139,1.476901,9.258346,7.10261,14.150301,7.331677,14.252825,4.9391,15.536614,12.656989,5.447315,2.750301,5.236676,1.574462,2.48864,5.102051
2018-04-24,1.631408,1.061481,0.89292,2.734075,1.305082,1.492448,9.47634,7.316241,14.357143,8.065082,14.639186,4.9906,15.621402,12.840783,5.475028,2.770328,5.310606,1.638417,2.573508,5.150281
2018-04-25,1.629147,1.045768,0.817144,2.700321,1.312169,1.485785,9.491313,7.477092,14.522617,8.073362,15.133727,5.144965,16.120919,13.125226,5.478492,2.725023,5.29007,1.610509,2.506112,5.137967
2018-04-26,1.628017,1.038785,0.81613,2.700321,1.303676,1.47246,9.316313,7.338861,13.033268,7.688916,15.025546,4.870061,15.440766,13.004156,5.478492,2.711858,5.11346,1.580276,2.310206,4.180151
2018-04-27,1.657977,1.047514,0.81613,2.718886,1.329155,1.512436,9.100655,5.878358,12.920679,7.423693,14.484641,4.957746,14.422196,12.703442,5.47041,2.711858,5.154532,1.491191,2.3021,3.739002
2018-05-02,1.613351,1.021986,0.814104,2.548065,1.335525,1.476837,8.392795,5.645729,13.302232,7.420289,13.591063,5.040691,14.154415,12.927716,5.422044,2.62629,5.112933,1.495734,2.243737,3.834004
2018-05-03,1.59916,1.016859,0.813597,2.551258,1.350388,1.476837,8.431125,5.623361,13.396056,7.935398,13.405666,5.135485,14.320266,12.772763,5.49831,2.606543,5.108865,1.48097,2.215366,3.88405
2018-05-04,1.568596,1.010023,0.810558,2.56882,1.386483,1.491885,8.330462,5.55402,13.241767,7.539422,13.797853,5.140225,14.242523,12.999756,5.476204,2.606543,5.149541,1.479834,2.181321,3.891684
2018-05-07,1.578966,1.016859,0.815117,2.575206,1.386483,1.496184,8.774086,5.809017,13.189642,7.681247,13.82281,5.154444,14.600141,13.354517,6.023879,2.62629,5.23496,1.534348,2.219419,3.962935
2018-05-08,1.6199,1.021986,0.825249,2.581593,1.367374,1.500484,8.908053,5.882832,13.579535,7.828745,13.530452,5.322704,14.781542,13.180535,6.035485,2.68553,5.263433,1.56842,2.325607,4.071509
2018-05-09,1.623721,1.023695,0.823223,2.584786,1.350388,1.515532,8.82159,5.867174,13.516985,7.85711,13.330794,5.474375,14.83337,13.179176,5.930482,2.678947,5.226825,1.577505,2.285888,4.088473
