date,工商银行,建设银行,中国石油,贵州茅台,招商银行,中国神华,中国平安,长江电力,万华化学,三一重工,海康威视,伊利股份,格力电器,紫金矿业,保利发展,中际旭创,韦尔股份,北方稀土,天齐锂业,兆易创新,东方财富,三六零
2018-01-02,1683878648895.399,75028585587.9778,1331197681778.6216,881751661256.5895,613193536149.524,387779443958.4449,777598756423.3787,180446967310.4335,,72193690977.16293,283867036164.39667,192239703273.42636,267541803460.1907,72803709462.08485,173437298885.97076,12565666271.833887,1734165509.598105,53567336547.915695,60482382076.97843,,44711389443.73503,19675633038.81854
2018-01-03,1676671430555.8772,74773860781.90332,1340152841335.9744,896765458993.1948,620572750998.4237,389581800324.2494,778145880966.3116,183283225287.8403,,72175358382.15382,289701556358.21545,196685523181.25363,274041493465.04468,73464474338.23695,172960738424.9617,12638347904.007875,1736959273.031029,53782987453.51324,63666593608.20381,,45337494973.075005,21632555631.11689
2018-01-04,1648943565706.0713,73276751676.17432,1383497160903.4067,923794946337.0164,614985088244.4503,384517487745.3642,771611013882.3243,182998891940.8865,,71615192037.81575,291979794891.242,201569951346.5805,276460599998.5085,73259134202.62057,171439738558.7463,12408398713.655289,1836810261.3389497,53349059788.90082,65873708091.7032,,44885016114.76483,24186015418.6118
2018-01-05,1640981198870.9756,73553287720.4181,1386136036107.3718,925597960946.6786,617153112990.9988,389719771340.5905,768654339166.7802,183620988638.19467,,73064202203.43019,292797557272.6428,203127274649.00583,282361334078.11847,74920413362.38011,178879981261.2774,12573457740.715502,1865671458.9458103,53395339042.76235,65282062506.29459,,45144913133.40282,23236808011.73158
2018-01-08,1635200807028.8013,72960645949.89343,1380991537607.829,938444886133.9445,608783783868.4418,410987578973.9029,756666186010.1809,183896359712.928,,75361098605.9265,298512458976.66394,202331015966.22318,287035917411.1199,75363635609.70445,185757413056.9221,12454473670.570902,1822766636.2092729,54290685297.30954,65543655979.44609,,45307710817.05092,21262566719.26499
2018-01-09,1639899063054.346,72555151862.08101,1379941691842.9004,972637237497.7148,610361447990.0238,408301998152.78687,773170515357.2402,185628120896.9776,,73990001113.22507,301171744995.8721,206602702167.52872,291784370201.4582,76571894895.89775,184063888545.61707,12670158783.20201,1813478296.884934,55325070077.789696,65871798676.79523,,44970717246.20859,20736122470.169888
2018-01-10,1656770544559.8213,73862826924.78305,1422842464588.03,982540433508.5868,626731078029.304,412897837790.1601,772842270310.8567,185846833711.0051,,73440244232.56784,306043990617.498,208175388368.00247,301524164314.52386,76257078985.26591,187101561403.2645,13312057932.657211,1804076991.476492,56084412015.744514,63660789660.15264,,44693755596.43165,20614830624.903587
2018-01-11,1670308800711.5002,75251109178.76051,1420465592866.531,977578581471.9937,636619689542.172,403592628249.40405,784824005406.9972,187453114186.85123,,71673242829.81158,309359234475.61194,206656624458.74692,305220628411.84296,75030434070.17981,183375073889.2773,13253202018.411943,1797124375.2089202,54672818850.44965,63057591636.27793,,45208988059.48609,20403332160.542976
2018-01-12,1685222713217.4492,75676750345.43948,1416151936993.033,977156438153.3552,646840648995.5215,401435917121.4004,794944579796.8026,187557554044.0107,,70910314748.8642,312132304747.3914,206799502819.30417,310595302422.9908,73541553171.00311,187500460494.69083,13374200518.730484,1815666623.2156544,54016731069.362526,62275661522.36611,,45841190280.428925,20241213936.54424
2018-01-15,1724229883146.2046,76972961271.50641,1427292440369.8235,990305684511.4122,658476110520.3318,393067927227.43945,837144760060.01,188295664182.65137,,70356175953.65283,314616760480.18787,210211853107.2937,324018819540.3148,74305782149.28925,192695938859.73132,13236602437.493809,1656649282.225607,51781286628.95763,58359170943.62116,,44267893171.52669,19011948856.542656
2018-01-16,1748275566830.6177,77590980140.61671,1412742972269.3833,976293489605.3328,657280130696.6484,385927608054.1573,846205966305.444,186018932919.829,,71972868215.42,318011436239.34247,211975793409.9322,325274648969.0073,73806690302.28633,200292743143.5605,12939747740.113466,1642184555.3720522,51032155509.0561,57417208089.397545,,42985807040.20515,19040488210.271767
2018-01-17,1825880750377.9373,81241909358.78192,1426689622617.3723,946630430995.3248,668877141777.7278,387766341470.2132,843570381663.8286,185243200384.7917,,71554934201.13454,304744153794.8926,210532743713.1852,315302422185.8591,71652828042.68607,206684238954.7425,12874906140.316504,1675511185.9003098,50015637252.81899,55972181288.03479,,44994334415.9187,19328799542.38753
2018-01-18,1875005039110.4048,83517980271.09201,1412908331475.454,946332531203.408,668660832595.7126,388366324012.4117,849930362320.9219,184499936549.13837,,71569446839.86935,301015953053.2879,210574185525.74585,312973278529.3962,70613774950.98177,207672620529.9108,12819202371.637964,1655285076.4656584,51478164011.94195,57804628895.14492,,45365761402.79171,19511030132.14342
