date,贵州茅台,比亚迪,海康威视,立讯精密,中际旭创,韦尔股份,北方稀土,天齐锂业,东方财富,兆易创新,万华化学,紫金矿业,招商银行,工商银行,长江电力,华能国际,伊利股份,格力电器,海螺水泥,恒瑞医药,片仔癀,三一重工,三六零,金地集团,中国石化,上汽集团,华夏银行,中国联通,包钢股份,保利发展
2018-01-02,10.481447,3.578108,13.412212,6.02818,6.591032,17.037465,6.108331,9.040126,4.204483,20.6173,4.328754,3.144755,1.70537,1.099704,2.639564,1.340918,8.03002,4.633098,2.03065,13.406271,9.793194,2.967851,12.025802,1.69504,1.07636,1.721578,0.816281,2.466533,2.341003,1.840987
2018-01-03,10.660295,3.592779,13.58702,6.2714,6.582062,16.624362,6.091833,9.656614,4.282104,20.6173,4.328754,3.158398,1.725521,1.096145,2.698634,1.351611,8.195899,4.684405,2.01286,13.437507,9.817106,2.964721,13.229095,1.684001,1.093257,1.708572,0.818073,2.566114,2.350367,1.818321
2018-01-04,10.976145,3.534638,13.881794,6.355088,6.465446,18.288804,6.166073,9.819652,4.220654,20.6173,4.328754,3.199327,1.707097,1.08013,2.675006,1.345195,8.399477,4.779838,2.039545,13.777203,10.118986,2.955329,14.551291,1.69504,1.165916,1.713991,0.819865,2.558454,2.341003,1.827136
2018-01-05,10.995356,3.498232,13.635007,6.237401,6.441899,17.606985,6.03409,9.709262,4.223888,20.6173,4.328754,3.158398,1.733006,1.081909,2.702009,1.349473,8.40199,4.913238,2.074491,13.728396,10.121975,3.002289,13.179156,1.805426,1.192951,1.729706,0.820761,2.577604,2.341003,1.925355
2018-01-08,11.200413,3.543332,13.984622,6.145867,6.380227,18.012066,6.223816,9.867205,4.269168,20.6173,4.328754,3.308473,1.696734,1.08013,2.696946,1.35375,8.434663,4.908108,2.15836,13.91191,10.323727,3.093077,12.689278,1.896188,1.191262,1.756259,0.823449,2.615904,2.378459,1.96691
2018-01-09,11.652968,3.554743,14.018898,6.302783,6.662796,17.534792,6.310429,9.804367,4.204483,20.6173,4.328754,3.281187,1.714006,1.083688,2.722261,1.343057,8.693534,5.069214,2.120873,14.583493,10.772065,3.052379,12.491899,1.941569,1.182813,1.757884,0.823449,2.600584,2.387823,1.976984
2018-01-10,11.700472,3.568327,14.265686,6.093562,6.883693,17.406449,6.269185,9.461308,4.204483,20.6173,4.328754,3.288008,1.757763,1.096145,2.729012,1.325948,8.701074,5.23853,2.14184,14.622538,10.824371,3.052379,12.154216,1.972232,1.208159,1.835374,0.837785,2.558454,2.359731,1.997131
2018-01-11,11.538154,3.553656,14.361659,6.109253,6.908362,17.217946,6.22794,9.41885,4.30151,20.6173,4.328754,3.219792,1.780218,1.105042,2.754328,1.325948,8.603055,5.212876,1.984903,14.499545,10.875183,2.936545,12.489521,1.947701,1.196331,1.833207,0.832409,2.577604,2.331639,1.987057
2018-01-12,11.740829,3.644942,14.676998,6.090947,6.920696,17.330246,6.11658,9.272795,4.27887,20.6173,4.328754,3.165219,1.814187,1.11216,2.747577,1.340918,8.75134,5.469415,2.005235,14.565922,11.063485,2.924022,11.940192,1.952607,1.208159,1.837542,0.838681,2.539304,2.341003,1.976984
2018-01-15,11.695409,3.539528,14.598163,5.871264,6.84669,15.818211,5.778374,8.588374,4.081583,20.6173,4.328754,3.212971,1.838944,1.14419,2.762766,1.313116,8.643268,5.602816,1.993163,14.542495,10.900589,2.883324,11.188728,1.95506,1.231815,1.815324,0.842266,2.455043,2.284819,2.090314
2018-01-16,11.510307,3.521054,14.598163,5.635891,6.638127,15.87035,5.827867,8.635927,4.084817,20.6173,4.328754,3.206149,1.836065,1.172661,2.710447,1.310977,8.680967,5.579214,2.035733,14.661584,11.200975,3.005419,11.464582,2.135358,1.2014,1.751382,0.844058,2.478023,2.294183,2.22631
2018-01-17,11.137868,3.463999,14.176568,5.758808,6.6841,16.355645,5.72888,8.535727,4.262699,20.6173,4.328754,3.042431,1.82455,1.195794,2.720574,1.317393,8.693534,5.34012,2.000788,14.357029,10.830349,2.930284,11.47885,2.049502,1.187882,1.762761,0.853018,2.608244,2.303547,2.257791
2018-01-18,11.179713,3.432484,13.91607,5.931416,6.694192,15.794147,5.848489,8.647815,4.249762,20.6173,4.328754,3.056074,1.860823,1.268752,2.712135,1.310977,8.608081,5.362695,2.040816,14.292102,11.02164,3.002289,11.778484,2.004121,1.182813,1.762761,0.864666,2.623564,2.331639,2.212459
2018-01-19,11.171374,3.434114,13.813242,6.054333,6.643733,15.481312,5.869112,8.646117,4.414707,20.6173,4.328754,3.076539,1.868883,1.266972,2.717198,1.351611,8.44723,5.279576,2.067502,14.598362,10.899094,2.967851,11.400374,1.951381,1.189572,1.779018,0.880795,2.638884,2.312911,2.1772
2018-01-22,11.520731,3.618861,14.241692,6.015104,6.638127,14.823557,5.95985,8.649514,4.644337,20.6173,4.328754,3.110647,1.90458,1.27587,2.715511,1.347334,8.794066,5.808047,2.096093,14.996892,11.459517,2.95846,11.055557,1.963646,1.167605,1.828872,0.866458,2.623564,2.341003,2.207422
2018-01-23,11.522816,3.630271,14.464487,5.92357,6.671766,15.164467,6.058837,8.780284,4.741363,20.6173,4.328754,3.144755,1.960427,1.332812,2.722261,1.347334,8.912192,5.827544,2.105624,15.055788,11.452044,3.036726,11.031776,2.026198,1.189572,1.840793,0.895131,2.665694,2.331639,2.235125
2018-01-24,11.384026,3.61397,14.053174,5.889571,7.236904,15.553505,5.980472,8.788775,5.171514,20.6173,4.328754,3.08336,1.948912,1.316797,2.702009,1.358027,8.809146,5.722876,2.065596,15.326709,11.351916,3.014811,11.195862,1.975911,1.236884,1.840251,0.902299,2.661864,2.331639,2.246458
2018-01-25,11.454017,3.566697,14.152575,5.962799,7.193173,15.064199,5.988721,8.773491,5.16828,20.6173,4.328754,3.342581,1.923579,1.3079,2.712135,1.360166,8.645781,5.684908,2.14057,14.932106,11.239831,3.082191,10.967569,1.924398,1.225056,1.890105,0.894235,2.784425,2.387823,2.153275
2018-01-26,11.574043,3.55909,14.080595,5.753578,7.158413,14.550829,5.864987,8.527235,5.300883,20.6173,4.157612,3.328938,1.927034,1.311459,2.710447,1.355889,8.7061,5.89014,2.21046,15.146095,11.4102,3.101062,10.80824,1.979591,1.247023,1.895524,0.901403,2.776765,2.359731,2.164608
2018-01-29,10.964977,3.417813,13.57331,5.669889,6.66616,14.398422,5.864987,8.51195,5.200622,20.6173,4.157612,3.438083,1.898822,1.322135,2.676693,1.385829,8.412043,5.723902,2.221897,14.378483,10.970828,2.953167,11.566838,2.004121,1.257161,1.867346,0.890651,2.734635,2.378459,2.138164
2018-01-30,11.050752,3.447698,13.57331,5.662043,6.862388,14.246016,5.831992,9.004461,5.135938,20.6173,4.157612,3.369867,1.875216,1.295444,2.664879,1.411493,8.376857,5.577162,2.161537,14.547319,10.902083,2.877687,12.72257,1.886376,1.218297,1.865178,0.873627,2.646544,2.359731,2.08024
2018-01-31,11.385217,3.42542,13.676138,5.688196,6.67513,13.01473,5.543279,8.902562,4.945119,20.6173,4.157612,3.499478,1.954094,1.331033,2.683444,1.349473,8.570382,5.740321,2.187587,14.859468,10.952895,2.890267,12.189887,1.920718,1.196331,1.863552,0.882587,2.673354,2.322275,2.169645
2018-02-01,11.283806,3.296097,13.600731,5.688196,6.537209,13.038794,5.328807,8.878786,4.89984,20.6173,4.157612,3.46537,1.983457,1.366622,2.727324,1.302423,8.701074,5.703379,2.220626,14.57284,10.57928,2.915427,11.897387,1.937889,1.209849,1.889563,0.895131,2.566114,2.284819,2.213718
2018-02-02,11.025734,3.363476,13.775538,5.954953,6.797352,12.304836,5.473163,8.858406,4.89984,20.6173,4.157612,3.670017,1.986336,1.352386,2.7307,1.302423,8.716154,5.694144,2.345159,14.582656,10.852766,2.918572,12.893827,1.93421,1.274058,1.880351,0.885275,2.619734,2.341003,2.319493
2018-02-05,10.695588,3.34011,13.364226,6.041257,6.593275,11.574888,5.431919,8.508554,4.928948,20.6173,4.157612,3.690482,2.00879,1.379078,2.749265,1.302423,8.298944,5.546377,2.330546,14.404005,10.822877,2.984617,14.182507,1.924398,1.289266,1.850547,0.931868,2.642714,2.359731,2.353492
2018-02-06,10.556054,3.179272,12.548456,5.858188,6.381348,10.612319,5.007099,8.396465,4.586121,20.6173,4.157612,3.615445,1.993245,1.347048,2.749265,1.289591,8.296431,5.481729,2.225709,13.548049,10.337178,2.905992,12.764959,1.789481,1.252092,1.850547,0.90678,2.493343,2.275455,2.270383
2018-02-07,10.17736,3.200464,12.476477,5.949722,6.234457,11.213925,5.023597,8.557805,4.71549,20.6173,4.157612,3.492656,1.864853,1.268752,2.745889,1.302423,7.921948,5.159516,2.178056,13.288907,10.272916,2.783337,13.587371,1.632488,1.208159,1.844044,0.896027,2.497173,2.275455,2.057574
2018-02-08,10.438857,3.233609,13.206556,5.97326,6.61458,12.336921,5.163828,8.829535,4.641103,20.6173,4.157612,3.199327,1.800945,1.213589,2.737451,1.296007,7.919435,5.233399,2.075126,13.567681,10.507546,2.751886,13.39524,1.634941,1.1355,1.779018,0.865562,2.501003,2.266091,1.973206
2018-02-09,10.17736,3.078205,12.805527,5.947107,6.657189,12.316868,4.870992,8.982383,4.178609,20.6173,4.157612,2.981036,1.768127,1.188676,2.695258,1.24468,7.854089,5.074345,1.95377,13.263385,10.42834,2.604071,12.055013,1.545405,1.078049,1.734583,0.826137,2.301842,2.134995,1.786841
2018-02-12,10.386587,3.239587,13.340233,6.211249,6.841083,12.713927,5.007099,9.880791,4.246528,20.6173,4.157612,2.99468,1.730127,1.17622,2.632813,1.266066,7.954621,5.285733,1.99634,13.932837,10.852766,2.594636,1.294161,1.545405,1.064532,1.751382,0.821657,2.347803,2.153723,1.825877
2018-02-13,10.602515,3.233066,13.443061,6.198172,6.806323,12.220611,5.007099,9.843428,4.220654,20.6173,4.157612,3.015144,1.779642,1.21003,2.659816,1.298146,8.117986,5.377061,2.033827,13.98388,10.749648,2.622941,1.423602,1.547858,1.071291,1.783895,0.832409,2.340142,2.163087,1.902689
2018-02-14,10.698864,3.287403,13.521896,6.313244,6.867995,11.93184,5.019472,9.964009,4.146267,20.6173,4.157612,3.131111,1.806126,1.224265,2.698634,1.287453,8.10542,5.565874,2.092281,14.121304,10.815405,2.619796,1.56517,1.531914,1.066221,1.79961,0.832409,2.347803,2.172451,1.914022
2018-02-22,11.056262,3.386297,13.861228,6.498928,7.249238,12.746013,5.295811,9.991182,4.337086,20.6173,4.157612,3.2539,1.813611,1.245619,2.718886,1.289591,8.608081,5.642836,2.127862,14.227317,10.96784,2.714146,1.56517,1.588333,1.094947,1.843503,0.84585,2.393763,2.209907,1.942984
2018-02-23,11.056709,3.412379,14.046319,6.328935,7.421919,12.762056,5.291687,10.358018,4.307978,20.6173,4.157612,3.288008,1.829732,1.247398,2.742514,1.29173,8.542735,5.547403,2.14057,14.386336,11.073946,2.698421,1.56517,1.598145,1.111844,1.846212,0.857498,2.409083,2.200543,1.969428
2018-02-26,11.072047,3.527031,14.738695,6.642767,7.837924,13.760721,5.361803,10.359716,4.505265,20.6173,4.157612,3.335759,1.814187,1.249178,2.769517,1.304562,8.590488,5.607946,2.234605,14.67689,11.171086,2.758176,252.343009,1.56503,1.120293,1.868429,0.85481,2.493343,2.219271,1.900171
2018-02-27,10.989697,3.448242,14.584453,6.559079,7.787465,13.836924,5.258691,10.020053,4.492329,20.6173,4.157612,3.206149,1.777339,1.20825,2.791457,1.323809,8.467336,5.337041,2.101812,14.462901,11.076935,2.679551,252.343009,1.528234,1.108465,1.863552,0.842266,2.470363,2.200543,1.827136
2018-02-28,10.805637,3.450958,14.591308,6.404778,7.823347,13.580239,5.398923,10.44633,4.459986,20.6173,4.157612,3.137933,1.744521,1.186897,2.779643,1.323809,8.155686,5.304204,2.066231,14.22928,10.891622,2.604071,227.124669,1.569936,1.083119,1.822911,0.833305,2.458873,2.219271,1.842246
2018-03-01,11.049114,3.437918,15.180856,6.634921,7.832317,14.021416,5.38655,10.765613,4.579652,20.6173,4.157612,3.192506,1.750279,1.190456,2.783019,1.33878,8.145633,5.292916,2.104989,14.564987,10.91105,2.585201,209.248378,1.507383,1.079739,1.838626,0.834201,2.451213,2.209907,1.851061
2018-03-02,10.966317,3.416183,14.670143,6.509389,8.050972,13.600293,5.489661,10.380096,4.414707,19.171358,4.157612,3.144755,1.728976,1.188676,2.826899,1.390107,8.110446,5.38527,2.050347,14.482533,11.079924,2.550606,211.482914,1.497571,1.069601,1.897691,0.835097,2.466533,2.191179,1.863653
2018-03-05,10.723584,3.538441,14.649577,6.436161,8.094702,14.225962,5.49791,10.468408,4.489094,21.088747,4.157612,3.144755,1.735885,1.178,2.842088,1.387968,8.138093,5.298047,2.011589,14.619957,11.571601,2.553751,203.981256,1.492665,1.079739,1.906903,0.833305,2.443553,2.172451,1.871209
