name,code,industry
浦发银行,sh.600000,J66货币金融服务
上海机场,sh.600009,G56航空运输业
包钢股份,sh.600010,C31黑色金属冶炼和压延加工业
华能国际,sh.600011,D44电力、热力生产和供应业
华夏银行,sh.600015,J66货币金融服务
民生银行,sh.600016,J66货币金融服务
上港集团,sh.600018,G55水上运输业
宝钢股份,sh.600019,C31黑色金属冶炼和压延加工业
浙能电力,sh.600023,D44电力、热力生产和供应业
华能水电,sh.600025,D44电力、热力生产和供应业
中远海能,sh.600026,G55水上运输业
华电国际,sh.600027,D44电力、热力生产和供应业
中国石化,sh.600028,B07石油和天然气开采业
南方航空,sh.600029,G56航空运输业
中信证券,sh.600030,J67资本市场服务
三一重工,sh.600031,C35专用设备制造业
招商银行,sh.600036,J66货币金融服务
四川路桥,sh.600039,E48土木工程建筑业
保利发展,sh.600048,K70房地产业
中国联通,sh.600050,I63电信、广播电视和卫星传输服务
国投资本,sh.600061,J67资本市场服务
宇通客车,sh.600066,C36汽车制造业
同仁堂,sh.600085,C27医药制造业
特变电工,sh.600089,C38电气机械和器材制造业
上汽集团,sh.600104,C36汽车制造业
北方稀土,sh.600111,C32有色金属冶炼和压延加工业
中国东航,sh.600115,G56航空运输业
中国卫星,sh.600118,C39计算机、通信和其他电子设备制造业
中国船舶,sh.600150,C37铁路、船舶、航空航天和其他运输设备制造业
巨化股份,sh.600160,C26化学原料和化学制品制造业
中国巨石,sh.600176,C30非金属矿物制品业
生益科技,sh.600183,C39计算机、通信和其他电子设备制造业
兖矿能源,sh.600188,B06煤炭开采和洗选业
复星医药,sh.600196,C27医药制造业
南山铝业,sh.600219,C32有色金属冶炼和压延加工业
海航控股,sh.600221,G56航空运输业
圆通速递,sh.600233,G60邮政业
恒瑞医药,sh.600276,C27医药制造业
万华化学,sh.600309,C26化学原料和化学制品制造业
恒力石化,sh.600346,C26化学原料和化学制品制造业
江西铜业,sh.600362,C32有色金属冶炼和压延加工业
中航机载,sh.600372,C37铁路、船舶、航空航天和其他运输设备制造业
国电南瑞,sh.600406,I65软件和信息技术服务业
小商品城,sh.600415,L72商务服务业
华鲁恒升,sh.600426,C26化学原料和化学制品制造业
片仔癀,sh.600436,C27医药制造业
通威股份,sh.600438,C38电气机械和器材制造业
士兰微,sh.600460,C39计算机、通信和其他电子设备制造业
中国动力,sh.600482,C37铁路、船舶、航空航天和其他运输设备制造业
中金黄金,sh.600489,B09有色金属矿采选业
海南机场,sh.600515,K70房地产业
贵州茅台,sh.600519,C15酒、饮料和精制茶制造业
中天科技,sh.600522,C38电气机械和器材制造业
山东黄金,sh.600547,B09有色金属矿采选业
厦门钨业,sh.600549,C32有色金属冶炼和压延加工业
恒生电子,sh.600570,I65软件和信息技术服务业
长电科技,sh.600584,C39计算机、通信和其他电子设备制造业
海螺水泥,sh.600585,C30非金属矿物制品业
用友网络,sh.600588,I65软件和信息技术服务业
青岛啤酒,sh.600600,C15酒、饮料和精制茶制造业
福耀玻璃,sh.600660,C30非金属矿物制品业
川投能源,sh.600674,D44电力、热力生产和供应业
海尔智家,sh.600690,C38电气机械和器材制造业
华域汽车,sh.600741,C36汽车制造业
中航沈飞,sh.600760,C37铁路、船舶、航空航天和其他运输设备制造业
国电电力,sh.600795,D44电力、热力生产和供应业
新奥股份,sh.600803,D45燃气生产和供应业
山西汾酒,sh.600809,C15酒、饮料和精制茶制造业
宝信软件,sh.600845,I65软件和信息技术服务业
东方电气,sh.600875,C34通用设备制造业
国投电力,sh.600886,D44电力、热力生产和供应业
伊利股份,sh.600887,C14食品制造业
航发动力,sh.600893,C37铁路、船舶、航空航天和其他运输设备制造业
长江电力,sh.600900,D44电力、热力生产和供应业
三峡能源,sh.600905,D44电力、热力生产和供应业
中泰证券,sh.600918,J67资本市场服务
江苏银行,sh.600919,J66货币金融服务
杭州银行,sh.600926,J66货币金融服务
华电新能,sh.600930,D44电力、热力生产和供应业
中国海油,sh.600938,B07石油和天然气开采业
中国移动,sh.600941,I63电信、广播电视和卫星传输服务
东方证券,sh.600958,J67资本市场服务
宝丰能源,sh.600989,C26化学原料和化学制品制造业
招商证券,sh.600999,J67资本市场服务
大秦铁路,sh.601006,G53铁路运输业
南京银行,sh.601009,J66货币金融服务
隆基绿能,sh.601012,C38电气机械和器材制造业
宁波港,sh.601018,G55水上运输业
春秋航空,sh.601021,G56航空运输业
赛轮轮胎,sh.601058,C29橡胶和塑料制品业
信达证券,sh.601059,J67资本市场服务
中信建投,sh.601066,J67资本市场服务
渝农商行,sh.601077,J66货币金融服务
中国神华,sh.601088,B06煤炭开采和洗选业
恒立液压,sh.601100,C34通用设备制造业
中国国航,sh.601111,G56航空运输业
中国化学,sh.601117,E48土木工程建筑业
赛力斯,sh.601127,C36汽车制造业
首创证券,sh.601136,J67资本市场服务
工业富联,sh.601138,C39计算机、通信和其他电子设备制造业
兴业银行,sh.601166,J66货币金融服务
北京银行,sh.601169,J66货币金融服务
中国铁建,sh.601186,E48土木工程建筑业
国泰海通,sh.601211,J67资本市场服务
陕西煤业,sh.601225,B06煤炭开采和洗选业
上海银行,sh.601229,J66货币金融服务
广汽集团,sh.601238,C36汽车制造业
农业银行,sh.601288,J66货币金融服务
中国平安,sh.601318,J68保险业
中国人保,sh.601319,J68保险业
交通银行,sh.601328,J66货币金融服务
新华保险,sh.601336,J68保险业
三六零,sh.601360,I64互联网和相关服务
兴业证券,sh.601377,J67资本市场服务
中国中铁,sh.601390,E48土木工程建筑业
工商银行,sh.601398,J66货币金融服务
国联民生,sh.601456,J67资本市场服务
中国铝业,sh.601600,C32有色金属冶炼和压延加工业
中国太保,sh.601601,J68保险业
上海医药,sh.601607,F52零售业
中国中冶,sh.601618,E48土木工程建筑业
中国人寿,sh.601628,J68保险业
长城汽车,sh.601633,C36汽车制造业
邮储银行,sh.601658,J66货币金融服务
中国建筑,sh.601668,E48土木工程建筑业
中国电建,sh.601669,E48土木工程建筑业
华泰证券,sh.601688,J67资本市场服务
拓普集团,sh.601689,C36汽车制造业
中国卫通,sh.601698,I63电信、广播电视和卫星传输服务
上海电气,sh.601727,C34通用设备制造业
中国电信,sh.601728,I63电信、广播电视和卫星传输服务
