name,pubDate,roe
片仔癀,2017-04-13,0.062753
海康威视,2017-04-14,0.059124
万华化学,2017-04-15,0.127977
云铝股份,2017-04-15,0.012613
温氏股份,2017-04-17,0.047154
科大讯飞,2017-04-18,0.010196
阳光电源,2017-04-18,0.021479
中兴通讯,2017-04-18,0.04496
润泽科技,2017-04-19,0.002174
宝信软件,2017-04-20,0.020005
宇通客车,2017-04-20,0.023011
天孚通信,2017-04-20,0.041071
华工科技,2017-04-20,0.017191
光启技术,2017-04-21,0.00479
中际旭创,2017-04-21,-0.007915
招商蛇口,2017-04-21,0.036906
恒瑞医药,2017-04-21,0.063449
中信特钢,2017-04-22,0.017381
上海电气,2017-04-22,0.010704
紫光国微,2017-04-22,0.016546
天齐锂业,2017-04-22,0.08249
沪电股份,2017-04-22,0.014537
天赐材料,2017-04-22,0.038538
杰瑞股份,2017-04-22,0.002941
中国联通,2017-04-22,0.003526
平安银行,2017-04-22,0.030319
卫星化学,2017-04-22,0.0828
北方华创,2017-04-22,0.000502
思源电气,2017-04-22,0.004064
正泰电器,2017-04-24,0.022805
恒力石化,2017-04-24,0.047752
新和成,2017-04-24,0.028337
汇川技术,2017-04-25,0.03574
恒生电子,2017-04-25,0.01733
新易盛,2017-04-25,0.029566
智飞生物,2017-04-25,0.023641
贵州茅台,2017-04-25,0.080614
通威股份,2017-04-25,0.022494
爱尔眼科,2017-04-25,0.054263
中科曙光,2017-04-25,0.006503
科伦药业,2017-04-25,0.016675
国信证券,2017-04-25,0.021234
芒果超媒,2017-04-25,0.005889
恒立液压,2017-04-25,0.01683
华东医药,2017-04-25,0.07205
英维克,2017-04-25,0.02253
中航西飞,2017-04-25,-0.00573
京东方A,2017-04-25,0.030224
中国化学,2017-04-26,0.011233
华能国际,2017-04-26,0.008393
昆仑万维,2017-04-26,0.053858
晶盛机电,2017-04-26,0.018329
浙能电力,2017-04-26,0.015888
蓝思科技,2017-04-26,0.015626
川投能源,2017-04-26,0.038561
中国铝业,2017-04-26,0.01021
招商轮船,2017-04-26,0.018796
东方证券,2017-04-26,0.02073
牧原股份,2017-04-26,0.113312
国轩高科,2017-04-26,0.050029
杭州银行,2017-04-26,0.033468
海螺水泥,2017-04-26,0.027697
中油资本,2017-04-26,0.021712
先导智能,2017-04-26,0.091672
大华股份,2017-04-26,0.034215
拓普集团,2017-04-26,0.049926
华域汽车,2017-04-26,0.039391
立讯精密,2017-04-26,0.026395
北京银行,2017-04-26,0.037678
荣盛石化,2017-04-26,0.047834
中信银行,2017-04-26,0.029693
中国卫星,2017-04-26,0.011849
海天味业,2017-04-26,0.093019
今世缘,2017-04-26,0.080148
中金黄金,2017-04-27,0.006623
歌尔股份,2017-04-27,0.027111
山东黄金,2017-04-27,0.020877
厦门钨业,2017-04-27,0.020012
民生银行,2017-04-27,0.040595
福耀玻璃,2017-04-27,0.037679
长安汽车,2017-04-27,0.053634
光线传媒,2017-04-27,0.026116
胜宏科技,2017-04-27,0.031138
华泰证券,2017-04-27,0.01557
同花顺,2017-04-27,0.036996
中国建筑,2017-04-27,0.036496
世纪华通,2017-04-27,0.028134
航发动力,2017-04-27,-0.005706
中联重科,2017-04-27,0.002293
江苏银行,2017-04-27,0.035667
亿纬锂能,2017-04-27,0.027309
顺丰控股,2017-04-27,0.036975
大秦铁路,2017-04-27,0.03457
兴业证券,2017-04-27,0.021237
三六零,2017-04-27,0.009706
特变电工,2017-04-27,0.026154
三环集团,2017-04-27,0.044401
亿联网络,2017-04-27,0.084557
海大集团,2017-04-27,0.01017
浦发银行,2017-04-27,0.038668
东方财富,2017-04-27,0.007805
中国核电,2017-04-27,0.02942
藏格矿业,2017-04-27,0.004852
金风科技,2017-04-28,0.009003
中国交建,2017-04-28,0.019408
复星医药,2017-04-28,0.032793
巨化股份,2017-04-28,0.017509
华润三九,2017-04-28,0.042567
青岛啤酒,2017-04-28,0.034889
兆易创新,2017-04-28,0.052954
巨人网络,2017-04-28,0.043864
南山铝业,2017-04-28,0.009006
东山精密,2017-04-28,0.007793
中国石化,2017-04-28,0.023088
古井贡酒,2017-04-28,0.070444
TCL科技,2017-04-28,0.019296
洛阳钼业,2017-04-28,0.031374
中国石油,2017-04-28,0.004775
三一重工,2017-04-28,0.032228
中国中车,2017-04-28,0.010333
宝钢股份,2017-04-28,0.027536
申万宏源,2017-04-28,0.018392
