name,pubDate,statDate,YOYNI,netProfit,MBRevenue
晶澳科技,2017-04-15,2017-03-31,1.151459,2391431.150000,
晶澳科技,2017-08-18,2017-06-30,-0.062977,3280492.420000,112843654.740000
晶澳科技,2017-10-21,2017-09-30,-0.507417,5339497.860000,
晶澳科技,2018-02-13,2017-12-31,0.102219,22167962.730000,356912322.430000
晶澳科技,2018-04-21,2018-03-31,0.319401,3155255.710000,
晶澳科技,2018-08-24,2018-06-30,1.588210,8490603.820000,181446362.150000
晶澳科技,2018-10-31,2018-09-30,1.517381,13441548.750000,
晶澳科技,2019-03-23,2018-12-31,-0.777907,4923344.940000,353524442.060000
晶澳科技,2019-04-27,2019-03-31,-0.740542,818656.130000,
晶澳科技,2019-08-17,2019-06-30,-5.844096,-41129303.590000,140076043.000000
晶澳科技,2019-10-23,2019-09-30,-3.939839,-39515988.850000,
晶澳科技,2020-03-30,2019-12-31,0.720336,1284101260.570000,21155479989.810000
晶澳科技,2020-04-28,2020-03-31,2.430488,308360396.230000,
晶澳科技,2020-08-18,2020-06-30,0.747493,726314899.730000,10884190297.910000
晶澳科技,2020-10-28,2020-09-30,0.825155,1323582434.560000,
晶澳科技,2021-03-30,2020-12-31,0.205777,1548339990.140000,25846520912.720000
晶澳科技,2021-04-29,2021-03-31,-0.458257,167052093.770000,
晶澳科技,2021-08-24,2021-06-30,0.018323,739623439.140000,16192425044.590000
晶澳科技,2021-10-30,2021-09-30,0.025316,1357090631.660000,
晶澳科技,2022-04-30,2021-12-31,0.348645,2088161689.300000,41301753627.900000
晶澳科技,2022-04-30,2022-03-31,3.629406,773351933.790000,
晶澳科技,2022-08-26,2022-06-30,1.387145,1765588342.210000,28468627908.570000
晶澳科技,2022-10-28,2022-09-30,1.502020,3395467449.180000,
晶澳科技,2023-03-23,2022-12-31,1.652827,5539531245.460000,72989400575.180000
晶澳科技,2023-04-27,2023-03-31,2.477499,2687535076.890000,
晶澳科技,2023-08-31,2023-06-30,1.837761,5008357633.440000,40842723878.080000
晶澳科技,2023-10-31,2023-09-30,1.051852,6967845656.710000,
晶澳科技,2024-04-30,2023-12-31,0.298153,7192359553.730000,81556177236.980000
晶澳科技,2024-04-30,2024-03-31,-1.229453,-616662428.800000,
晶澳科技,2024-08-31,2024-06-30,-1.241288,-1208458421.180000,37356530993.780000
晶澳科技,2024-10-31,2024-09-30,-1.123012,-857127280.480000,
晶澳科技,2025-04-25,2024-12-31,-1.708383,-5094945251.750000,70120697029.730000
国轩高科,2017-04-26,2017-03-31,-0.341629,201867198.770000,
国轩高科,2017-08-30,2017-06-30,-0.165040,445915734.850000,2370893248.090000
国轩高科,2017-10-27,2017-09-30,-0.131619,640970141.420000,
国轩高科,2018-04-26,2017-12-31,-0.186551,840172810.740000,4645097632.230000
国轩高科,2018-04-26,2018-03-31,-0.203260,160835759.010000,
国轩高科,2018-08-30,2018-06-30,0.044813,465898477.190000,2511245008.670000
国轩高科,2018-10-26,2018-09-30,0.026323,657842342.990000,
国轩高科,2019-04-30,2018-12-31,-0.307660,581685284.750000,4991069080.180000
国轩高科,2019-04-30,2019-03-31,0.252799,201494811.920000,
国轩高科,2019-08-29,2019-06-30,-0.248627,350063494.610000,3508260160.850000
国轩高科,2019-10-30,2019-09-30,-0.124898,575679133.780000,
国轩高科,2020-04-30,2019-12-31,-0.916909,48332744.870000,4820838662.000000
国轩高科,2020-04-30,2020-03-31,-0.838843,32472309.990000,
国轩高科,2020-08-28,2020-06-30,-0.902503,34130007.790000,2358180316.160000
国轩高科,2020-10-27,2020-09-30,-0.836555,94091715.630000,
国轩高科,2021-04-22,2020-12-31,2.039429,146903931.260000,6620680786.670000
国轩高科,2021-04-22,2021-03-31,0.381191,44850465.400000,
国轩高科,2021-08-28,2021-06-30,0.612005,55017737.180000,3425982630.020000
国轩高科,2021-10-29,2021-09-30,-0.142840,80651615.540000,
国轩高科,2022-04-29,2021-12-31,-0.476349,76926413.760000,10223470462.100000
国轩高科,2022-04-29,2022-03-31,-0.192692,36208143.560000,
国轩高科,2022-08-27,2022-06-30,0.408604,77498210.420000,8210403661.580000
国轩高科,2022-10-27,2022-09-30,1.352390,189724044.280000,
国轩高科,2023-04-28,2022-12-31,3.760310,365640158.020000,23051701484.600000
国轩高科,2023-04-28,2023-03-31,1.885434,104476222.700000,
国轩高科,2023-08-30,2023-06-30,2.110815,240947907.360000,15037240153.040000
国轩高科,2023-10-28,2023-09-30,0.902697,360878613.970000,
国轩高科,2024-04-20,2023-12-31,1.650417,969098872.910000,30799621845.390000
国轩高科,2024-04-20,2024-03-31,-0.653684,36181806.050000,
国轩高科,2024-08-29,2024-06-30,0.296961,312500127.910000,16334082924.510000
国轩高科,2024-10-30,2024-09-30,0.130633,408021233.020000,
国轩高科,2025-04-25,2024-12-31,0.190935,1154134212.390000,33936636781.730000
智飞生物,2017-04-25,2017-03-31,0.018903,60317452.060000,
智飞生物,2017-08-15,2017-06-30,13.269631,171790085.520000,426562811.700000
智飞生物,2017-10-23,2017-09-30,41.186621,285234792.770000,
智飞生物,2018-03-20,2017-12-31,12.292474,432275400.680000,1342568632.760000
智飞生物,2018-04-26,2018-03-31,3.304433,259632404.950000,
智飞生物,2018-08-14,2018-06-30,2.972164,682378473.920000,2047522736.470000
智飞生物,2018-10-19,2018-09-30,2.809452,1086588213.060000,
智飞生物,2019-04-04,2018-12-31,2.357504,1451366528.140000,5228307728.170000
智飞生物,2019-04-29,2019-03-31,0.933757,502066054.290000,
智飞生物,2019-08-30,2019-06-30,0.680841,1146969826.770000,5005696853.580000
智飞生物,2019-10-22,2019-09-30,0.622455,1762940520.610000,
智飞生物,2020-04-21,2019-12-31,0.630490,2366438733.290000,10587318311.600000
智飞生物,2020-04-29,2020-03-31,0.028477,516363351.010000,
智飞生物,2020-08-04,2020-06-30,0.311759,1504548395.160000,
智飞生物,2020-10-16,2020-09-30,0.405944,2478595732.370000,
智飞生物,2021-04-20,2020-12-31,0.395061,3301326830.150000,15190366231.210000
智飞生物,2021-04-20,2021-03-31,0.816897,938179113.580000,
智飞生物,2021-08-30,2021-06-30,2.649368,5490650129.410000,13157261782.420000
智飞生物,2021-10-29,2021-09-30,2.390471,8403607789.290000,
智飞生物,2022-04-28,2021-12-31,2.092256,10208548452.560000,30628958674.520000
智飞生物,2022-04-28,2022-03-31,1.049456,1922756886.800000,
智飞生物,2022-08-30,2022-06-30,-0.320842,3729017351.470000,18353747808.660000
智飞生物,2022-10-28,2022-09-30,-0.332768,5607155253.070000,
智飞生物,2023-03-21,2022-12-31,-0.261501,7538999697.340000,38260160010.260000
智飞生物,2023-04-20,2023-03-31,0.056829,2032024553.160000,
智飞生物,2023-08-29,2023-06-30,0.142373,4259927399.090000,24442758833.360000
智飞生物,2023-10-27,2023-09-30,0.164641,6530323266.830000,
智飞生物,2024-04-23,2023-12-31,0.070416,8069868204.150000,52913689901.520000
智飞生物,2024-04-23,2024-03-31,-0.282615,1457744248.170000,
智飞生物,2024-08-30,2024-06-30,-0.475503,2234319364.610000,18258441511.250000
智飞生物,2024-10-26,2024-09-30,-0.670671,2150622937.940000,
智飞生物,2025-04-22,2024-12-31,-0.749875,2018478513.910000,25846434643.010000
三花智控,2017-04-29,2017-03-31,0.326942,174167148.660000,
三花智控,2017-08-31,2017-06-30,0.292932,521574449.800000,4280435805.810000
三花智控,2017-10-20,2017-09-30,0.266450,993387477.130000,
三花智控,2018-04-16,2017-12-31,0.256767,1250880476.280000,9581243801.580000
三花智控,2018-04-26,2018-03-31,0.132536,252347018.340000,
三花智控,2018-08-10,2018-06-30,0.109154,685915883.380000,5590333729.820000
三花智控,2018-10-29,2018-09-30,0.044713,1037804704.980000,
三花智控,2019-04-03,2018-12-31,0.048307,1311307234.620000,10835990677.510000
三花智控,2019-04-20,2019-03-31,0.036888,261655690.900000,
三花智控,2019-08-30,2019-06-30,0.003711,688461499.430000,5831107028.080000
三花智控,2019-10-25,2019-09-30,0.018035,1056521000.590000,
三花智控,2020-04-29,2019-12-31,0.093424,1433815038.760000,11287489442.230000
三花智控,2020-04-29,2020-03-31,-0.192979,211161663.500000,
三花智控,2020-08-13,2020-06-30,-0.069131,640867524.190000,5318178626.770000
三花智控,2020-10-21,2020-09-30,0.039093,1097823095.640000,
三花智控,2021-03-27,2020-12-31,0.027555,1473323351.980000,12109833368.440000
三花智控,2021-04-23,2021-03-31,0.723102,363853179.440000,
三花智控,2021-08-12,2021-06-30,0.305226,836477079.520000,7674081761.690000
三花智控,2021-10-26,2021-09-30,0.195066,1311970699.370000,
三花智控,2022-03-25,2021-12-31,0.157129,1704824537.640000,16020809805.520000
三花智控,2022-04-26,2022-03-31,0.247705,453981307.380000,
三花智控,2022-08-13,2022-06-30,0.213225,1014835254.940000,10159952995.520000
三花智控,2022-10-27,2022-09-30,0.257614,1649952196.010000,
三花智控,2023-04-29,2022-12-31,0.529806,2608051624.020000,21347549741.000000
三花智控,2023-04-29,2023-03-31,0.340488,608556460.280000,
三花智控,2023-08-23,2023-06-30,0.393817,1414494515.730000,12528920625.590000
三花智控,2023-10-31,2023-09-30,0.332202,2198069104.160000,
三花智控,2024-04-30,2023-12-31,0.124868,2933714738.990000,24557802066.590000
三花智控,2024-04-30,2024-03-31,0.061781,646153478.310000,
三花智控,2024-08-30,2024-06-30,0.075766,1521665652.170000,13676072161.080000
三花智控,2024-10-31,2024-09-30,0.055255,2319523229.840000,
三花智控,2025-03-27,2024-12-31,0.060678,3111725802.340000,27947164515.930000
圣邦股份,,,,,
圣邦股份,2017-08-22,2017-06-30,0.073083,32514324.470000,225262940.790000
圣邦股份,2017-10-26,2017-09-30,0.131275,59235445.330000,
圣邦股份,2018-04-23,2017-12-31,0.163308,93870960.540000,531505272.150000
圣邦股份,2018-04-26,2018-03-31,0.216680,17494703.300000,
圣邦股份,2018-08-22,2018-06-30,0.260126,40972142.890000,284384884.210000
圣邦股份,2018-10-27,2018-09-30,0.219079,72212680.500000,
圣邦股份,2019-04-25,2018-12-31,0.104645,103694105.160000,572392694.370000
圣邦股份,2019-04-27,2019-03-31,-0.093402,15860658.910000,
圣邦股份,2019-08-16,2019-06-30,0.470095,60232927.010000,295728017.000000
圣邦股份,2019-10-29,2019-09-30,0.655674,119560659.290000,
圣邦股份,2020-03-31,2019-12-31,0.685038,174728483.230000,792494891.330000
圣邦股份,2020-04-28,2020-03-31,0.883268,29869875.530000,
圣邦股份,2020-08-07,2020-06-30,0.717895,103473866.620000,465508962.390000
圣邦股份,2020-10-28,2020-09-30,0.713586,204877497.630000,
圣邦股份,2021-04-23,2020-12-31,0.623012,283586476.920000,1196546817.330000
圣邦股份,2021-04-27,2021-03-31,1.477527,74003410.310000,
圣邦股份,2021-08-30,2021-06-30,1.485678,257202664.610000,915464465.060000
