name,pubDate,statDate,roeAvg,netProfit,CFOToNP
洋河股份,2017-04-28,2017-03-31,0.100019,2737617468.920000,0.427516
洋河股份,2017-08-29,2017-06-30,0.147903,3900117293.250000,0.224694
洋河股份,2017-10-28,2017-09-30,0.204748,5573309096.840000,0.769630
洋河股份,2018-04-27,2017-12-31,0.238525,6618786143.670000,1.039944
洋河股份,2018-04-27,2018-03-31,0.111235,3475917162.670000,0.544248
洋河股份,2018-08-30,2018-06-30,0.166566,5005460138.500000,0.331391
洋河股份,2018-10-27,2018-09-30,0.226605,7039553743.180000,0.834495
洋河股份,2019-04-30,2018-12-31,0.256974,8115329894.500000,1.116005
洋河股份,2019-04-30,2019-03-31,0.112517,4025174587.200000,0.030549
洋河股份,2019-08-31,2019-06-30,0.163314,5584896240.970000,-0.091329
洋河股份,2019-10-30,2019-09-30,0.204417,7152310735.170000,0.240396
洋河股份,2020-04-29,2019-12-31,0.210477,7386090915.210000,0.920364
洋河股份,2020-04-29,2020-03-31,0.104611,4003453217.600000,-0.082147
洋河股份,2020-08-29,2020-06-30,0.147461,5401783377.800000,-0.506015
洋河股份,2020-10-22,2020-09-30,0.192403,7188617120.670000,-0.061772
洋河股份,2021-04-29,2020-12-31,0.199544,7484606313.920000,0.531597
洋河股份,2021-04-29,2021-03-31,0.095571,3867003971.920000,0.754993
洋河股份,2021-08-28,2021-06-30,0.144912,5665866954.860000,0.369448
洋河股份,2021-10-27,2021-09-30,0.178911,7219146137.780000,0.758269
洋河股份,2022-04-29,2021-12-31,0.185442,7512817397.480000,2.038938
洋河股份,2022-04-29,2022-03-31,0.110796,4987231505.160000,-0.613926
洋河股份,2022-08-27,2022-06-30,0.157729,6900024334.620000,-0.645469
洋河股份,2022-10-28,2022-09-30,0.202458,9078222991.150000,-0.105307
洋河股份,2023-04-26,2022-12-31,0.208486,9389398171.490000,0.388483
洋河股份,2023-04-26,2023-03-31,0.114465,5776534887.700000,0.242831
洋河股份,2023-08-29,2023-06-30,0.161703,7873688749.550000,0.033661
洋河股份,2023-10-28,2023-09-30,0.204890,10220562234.220000,0.424973
洋河股份,2024-04-27,2023-12-31,0.201500,10020768556.470000,0.611752
洋河股份,2024-04-27,2024-03-31,0.110167,6052988206.490000,0.801334
洋河股份,2024-08-30,2024-06-30,0.151662,7947920201.660000,0.257090
洋河股份,2024-10-31,2024-09-30,0.162730,8575532124.330000,0.403276
洋河股份,2025-04-29,2024-12-31,0.128921,6666455819.960000,0.694329
苏泊尔,2017-04-22,2017-03-31,0.077577,366787287.970000,1.133395
苏泊尔,2017-08-31,2017-06-30,0.129666,597279300.580000,0.935671
苏泊尔,2017-10-19,2017-09-30,0.188707,896975045.790000,0.916912
苏泊尔,2018-03-31,2017-12-31,0.268558,1307844100.140000,0.826910
苏泊尔,2018-04-24,2018-03-31,0.083839,452196896.850000,0.974426
苏泊尔,2018-08-30,2018-06-30,0.140629,738836585.030000,0.532365
苏泊尔,2018-10-24,2018-09-30,0.209879,1103491582.800000,0.443565
苏泊尔,2019-03-28,2018-12-31,0.300743,1668781233.330000,1.206664
苏泊尔,2019-04-25,2019-03-31,0.083480,514639046.630000,-0.230568
苏泊尔,2019-08-30,2019-06-30,0.141470,836852834.810000,-0.032725
苏泊尔,2019-10-30,2019-09-30,0.203399,1244989076.070000,0.151531
苏泊尔,2020-04-29,2019-12-31,0.301311,1915653117.020000,0.904621
苏泊尔,2020-04-29,2020-03-31,0.044606,306616788.730000,0.336220
苏泊尔,2020-08-28,2020-06-30,0.102301,664454687.810000,-0.116790
苏泊尔,2020-10-27,2020-09-30,0.161273,1078892391.910000,0.568676
苏泊尔,2021-04-01,2020-12-31,0.263044,1842624762.740000,1.126975
苏泊尔,2021-04-23,2021-03-31,0.068314,503909112.550000,1.144053
苏泊尔,2021-08-27,2021-06-30,0.123966,864064244.580000,0.347695
苏泊尔,2021-10-27,2021-09-30,0.174884,1238210352.410000,0.459019
苏泊尔,2022-04-01,2021-12-31,0.262277,1941371527.890000,1.055894
苏泊尔,2022-04-29,2022-03-31,0.068163,539864613.790000,0.675399
苏泊尔,2022-08-31,2022-06-30,0.127849,933694778.890000,1.401791
苏泊尔,2022-10-25,2022-09-30,0.175834,1308599808.670000,1.547483
苏泊尔,2023-03-31,2022-12-31,0.282106,2066176439.620000,1.529373
苏泊尔,2023-04-28,2023-03-31,0.060653,437469766.930000,1.721331
苏泊尔,2023-08-31,2023-06-30,0.142875,879233775.360000,0.631278
苏泊尔,2023-10-27,2023-09-30,0.216864,1361423820.770000,0.853334
苏泊尔,2024-03-30,2023-12-31,0.325795,2179420437.210000,0.933693
苏泊尔,2024-04-26,2024-03-31,0.071367,469791694.380000,2.220193
苏泊尔,2024-08-30,2024-06-30,0.164269,940168358.250000,0.583432
苏泊尔,2024-10-25,2024-09-30,0.239676,1432132794.480000,0.810089
苏泊尔,2025-03-28,2024-12-31,0.351525,2245243980.800000,1.150655
涪陵榨菜,2017-04-22,2017-03-31,0.039856,63701183.060000,1.061614
涪陵榨菜,2017-07-28,2017-06-30,0.105746,171951578.210000,1.132275
涪陵榨菜,2017-10-25,2017-09-30,0.179587,303867995.540000,1.354368
涪陵榨菜,2018-03-17,2017-12-31,0.237035,414142244.090000,1.262326
涪陵榨菜,2018-04-21,2018-03-31,0.057858,114870381.700000,-0.428950
涪陵榨菜,2018-07-28,2018-06-30,0.151010,305246085.310000,0.627405
涪陵榨菜,2018-10-25,2018-09-30,0.245575,523149709.510000,0.921448
涪陵榨菜,2019-03-22,2018-12-31,0.300837,661719638.120000,0.845346
涪陵榨菜,2019-04-20,2019-03-31,0.060909,155248579.640000,0.026319
涪陵榨菜,2019-07-31,2019-06-30,0.124631,314822842.200000,0.721485
涪陵榨菜,2019-10-26,2019-09-30,0.197123,517962784.700000,0.851460
涪陵榨菜,2020-03-17,2019-12-31,0.226543,605141874.330000,0.853523
涪陵榨菜,2020-04-22,2020-03-31,0.056059,165596376.320000,1.669695
涪陵榨菜,2020-08-21,2020-06-30,0.136841,404357038.260000,1.151731
涪陵榨菜,2020-10-23,2020-09-30,0.200554,613606691.160000,1.143778
涪陵榨菜,2021-04-29,2020-12-31,0.247383,777105782.580000,1.208427
涪陵榨菜,2021-04-29,2021-03-31,0.057850,203231279.230000,-0.126560
涪陵榨菜,2021-07-31,2021-06-30,0.071778,376173763.470000,0.684500
涪陵榨菜,2021-10-30,2021-09-30,0.094949,503663158.260000,1.054444
涪陵榨菜,2022-03-18,2021-12-31,0.140277,741958457.290000,1.004750
涪陵榨菜,2022-04-28,2022-03-31,0.029445,214189091.660000,0.523264
涪陵榨菜,2022-07-30,2022-06-30,0.071016,516276518.630000,1.043981
涪陵榨菜,2022-10-29,2022-09-30,0.094634,696500160.540000,1.071740
涪陵榨菜,2023-03-25,2022-12-31,0.120463,898789391.360000,1.200617
涪陵榨菜,2023-04-28,2023-03-31,0.033142,261354400.360000,-0.570200
涪陵榨菜,2023-08-28,2023-06-30,0.060151,470482549.720000,0.030995
涪陵榨菜,2023-10-28,2023-09-30,0.083289,659328157.330000,0.393963
涪陵榨菜,2024-03-30,2023-12-31,0.103325,826577951.570000,0.526855
涪陵榨菜,2024-04-27,2024-03-31,0.032413,271629099.470000,-0.124833
涪陵榨菜,2024-08-30,2024-06-30,0.054026,448167297.760000,0.369234
涪陵榨菜,2024-10-30,2024-09-30,0.079790,670769824.910000,0.731632
涪陵榨菜,2025-03-29,2024-12-31,0.094363,799346652.130000,1.022015
海大集团,2017-04-27,2017-03-31,0.010170,68800682.750000,-3.939667
海大集团,2017-08-18,2017-06-30,0.091119,534633046.450000,-0.369610
海大集团,2017-10-31,2017-09-30,0.191572,1169686352.520000,-0.147241
海大集团,2018-04-20,2017-12-31,0.199142,1226459713.570000,0.402966
海大集团,2018-04-27,2018-03-31,0.015406,110095258.750000,1.342707
海大集团,2018-08-29,2018-06-30,0.090130,623324518.660000,0.473579
海大集团,2018-10-26,2018-09-30,0.181311,1308144084.630000,-0.036369
海大集团,2019-04-16,2018-12-31,0.202140,1483940160.900000,0.697982
海大集团,2019-04-24,2019-03-31,0.015649,123418115.170000,-5.499714
海大集团,2019-07-30,2019-06-30,0.085107,715806118.720000,0.458725
海大集团,2019-10-22,2019-09-30,0.170061,1502168400.450000,1.332197
海大集团,2020-04-21,2019-12-31,0.195702,1789507106.050000,1.814455
海大集团,2020-04-21,2020-03-31,0.031999,369131548.020000,-0.716390
海大集团,2020-07-28,2020-06-30,0.113735,1271236685.890000,0.224472
海大集团,2020-10-27,2020-09-30,0.198735,2344088908.090000,-0.174632
海大集团,2021-04-20,2020-12-31,0.218640,2849811147.830000,0.170278
海大集团,2021-04-20,2021-03-31,0.050559,803953797.530000,-1.038436
海大集团,2021-07-27,2021-06-30,0.108244,1676181793.470000,0.346205
海大集团,2021-10-20,2021-09-30,0.121929,1967483737.740000,1.144577
海大集团,2022-04-12,2021-12-31,0.112264,1811090597.330000,1.732629
海大集团,2022-04-12,2022-03-31,0.013727,232006065.640000,-4.511160
海大集团,2022-08-30,2022-06-30,0.061917,1027415254.840000,2.315087
海大集团,2022-10-21,2022-09-30,0.136403,2282322443.320000,2.733370
海大集团,2023-04-25,2022-12-31,0.182998,3164445838.920000,2.154530
海大集团,2023-04-25,2023-03-31,0.022591,435246260.660000,0.461063
海大集团,2023-08-29,2023-06-30,0.061047,1175982696.210000,4.716430
海大集团,2023-10-20,2023-09-30,0.121256,2380695651.950000,3.905947
海大集团,2024-04-23,2023-12-31,0.146310,2871515624.220000,4.422185
海大集团,2024-04-23,2024-03-31,0.043645,899371723.310000,-2.831863
海大集团,2024-07-30,2024-06-30,0.106827,2227923806.520000,0.853327
海大集团,2024-10-19,2024-09-30,0.173235,3790348531.730000,2.061517
海大集团,2025-04-22,2024-12-31,0.206831,4676095598.270000,1.710028
重庆啤酒,2017-04-28,2017-03-31,0.038393,46791686.580000,3.729635
重庆啤酒,2017-08-26,2017-06-30,0.144787,172045174.690000,2.664691
重庆啤酒,2017-10-28,2017-09-30,0.264614,340627452.720000,2.501773
重庆啤酒,2018-04-14,2017-12-31,0.275285,326122335.040000,2.514492
重庆啤酒,2018-04-28,2018-03-31,0.062894,85960399.220000,1.284394
重庆啤酒,2018-08-24,2018-06-30,0.195229,234239052.850000,1.855069
重庆啤酒,2018-10-31,2018-09-30,0.330911,422660560.580000,2.042366
重庆啤酒,2019-04-13,2018-12-31,0.349969,421259470.550000,1.767034
重庆啤酒,2019-04-27,2019-03-31,0.072131,100857554.370000,2.218221
重庆啤酒,2019-08-24,2019-06-30,0.222947,270745966.510000,1.742150
重庆啤酒,2019-10-24,2019-09-30,0.475724,660622825.740000,1.317327
重庆啤酒,2020-04-18,2019-12-31,0.512477,728536930.170000,0.968763
重庆啤酒,2020-04-18,2020-03-31,0.023751,44632636.990000,2.047646
重庆啤酒,2020-08-15,2020-06-30,0.204630,299142634.860000,2.190085
重庆啤酒,2020-10-24,2020-09-30,0.351894,559700561.660000,2.047248
重庆啤酒,2021-04-28,2020-12-31,1.074686,1752317095.650000,2.105630
重庆啤酒,2021-04-29,2021-03-31,0.402926,616231545.940000,2.132612
重庆啤酒,2021-08-19,2021-06-30,0.694056,1296561959.950000,2.030191
重庆啤酒,2021-10-29,2021-09-30,0.941810,2160862260.200000,1.778893
重庆啤酒,2022-04-02,2021-12-31,0.996860,2399156196.280000,1.485850
重庆啤酒,2022-04-29,2022-03-31,0.176899,685043891.650000,1.652003
重庆啤酒,2022-08-18,2022-06-30,0.444758,1478497539.020000,1.825659
重庆啤酒,2022-10-28,2022-09-30,0.634837,2401200980.930000,1.750183
重庆啤酒,2023-04-28,2022-12-31,0.663188,2586899641.430000,1.450635
重庆啤酒,2023-04-28,2023-03-31,0.171987,774760005.900000,1.100482
重庆啤酒,2023-08-17,2023-06-30,0.466657,1742566523.030000,1.460744
重庆啤酒,2023-10-31,2023-09-30,0.640518,2708970499.300000,1.372592
重庆啤酒,2024-03-30,2023-12-31,0.637028,2711568555.190000,1.142124
重庆啤酒,2024-04-30,2024-03-31,0.191004,898958562.460000,1.202230
重庆啤酒,2024-08-15,2024-06-30,0.469019,1799404743.430000,1.419124
重庆啤酒,2024-10-31,2024-09-30,0.622964,2666605303.420000,1.298204
重庆啤酒,2025-04-03,2024-12-31,0.670347,2249380492.360000,1.130110
中国建筑,2017-04-27,2017-03-31,0.036496,9138745000.000000,-7.308702
中国建筑,2017-08-23,2017-06-30,0.092487,25454262000.000000,-2.307132
中国建筑,2017-10-28,2017-09-30,0.129655,34673776000.000000,-2.170358
中国建筑,2018-04-12,2017-12-31,0.162577,46649023000.000000,-0.931572
中国建筑,2018-04-28,2018-03-31,0.036784,10514807000.000000,-8.488114
中国建筑,2018-08-29,2018-06-30,0.086326,27543980000.000000,-2.236706
中国建筑,2018-10-31,2018-09-30,0.120714,37826425000.000000,-1.717239
中国建筑,2019-04-12,2018-12-31,0.166732,55350200000.000000,0.186292
中国建筑,2019-04-30,2019-03-31,0.035596,11886352000.000000,-8.254568
中国建筑,2019-08-29,2019-06-30,0.081285,32146362000.000000,-2.578727
中国建筑,2019-10-26,2019-09-30,0.117871,44053692000.000000,-2.421469
中国建筑,2020-04-25,2019-12-31,0.160724,63205243000.000000,-0.541412
中国建筑,2020-04-30,2020-03-31,0.028032,10095094000.000000,-9.011939
中国建筑,2020-08-28,2020-06-30,0.071499,32934800000.000000,-2.145002
中国建筑,2020-10-29,2020-09-30,0.109833,47036116000.000000,-1.879684
中国建筑,2021-04-17,2020-12-31,0.155619,70950380000.000000,0.285718
中国建筑,2021-04-30,2021-03-31,0.036007,14301462000.000000,-3.201153
中国建筑,2021-08-28,2021-06-30,0.083181,40081508000.000000,-1.241074
中国建筑,2021-10-27,2021-09-30,0.120227,55691180000.000000,-0.778542
中国建筑,2022-04-16,2021-12-31,0.159571,77732492000.000000,0.184753
中国建筑,2022-04-30,2022-03-31,0.036872,16698674000.000000,-7.334756
中国建筑,2022-08-30,2022-06-30,0.081168,41172074000.000000,-1.672785
中国建筑,2022-10-29,2022-09-30,0.121645,57185816000.000000,-0.917942
中国建筑,2023-04-18,2022-12-31,0.139931,69211763000.000000,0.055322
中国建筑,2023-04-28,2023-03-31,0.037803,17647856000.000000,-3.707200
中国建筑,2023-08-30,2023-06-30,0.074290,40009631000.000000,-0.263938
中国建筑,2023-10-27,2023-09-30,0.109044,56756317000.000000,-0.288099
中国建筑,2024-04-19,2023-12-31,0.133667,73539713000.000000,0.149989
中国建筑,2024-04-30,2024-03-31,0.034292,17851772000.000000,-5.410949
中国建筑,2024-08-30,2024-06-30,0.067439,40210793000.000000,-2.704976
中国建筑,2024-10-26,2024-09-30,0.089837,52164702000.000000,-1.476273
中国建筑,2025-04-16,2024-12-31,0.103815,62737361000.000000,0.251422
中国中冶,2017-04-29,2017-03-31,0.019580,1687621000.000000,-9.986546
中国中冶,2017-08-30,2017-06-30,0.036396,2917855000.000000,-4.866545
中国中冶,2017-10-31,2017-09-30,0.046943,4045844000.000000,-3.479583
中国中冶,2018-03-30,2017-12-31,0.079208,6711854000.000000,2.744077
中国中冶,2018-04-28,2018-03-31,0.019947,1959480000.000000,-6.568826
中国中冶,2018-08-31,2018-06-30,0.035102,3498968000.000000,-2.316852
中国中冶,2018-10-30,2018-09-30,0.045368,4511377000.000000,-1.619400
中国中冶,2019-03-30,2018-12-31,0.076562,7570607000.000000,1.855858
中国中冶,2019-04-29,2019-03-31,0.020835,2148738000.000000,-6.485430
中国中冶,2019-08-31,2019-06-30,0.037133,3778258000.000000,-1.384773
中国中冶,2019-10-31,2019-09-30,0.045290,4928520000.000000,-2.157782
中国中冶,2020-04-01,2019-12-31,0.072567,7576819000.000000,2.319962
中国中冶,2020-04-29,2020-03-31,0.019610,2378509000.000000,-3.739133
中国中冶,2020-08-29,2020-06-30,0.037612,4276566000.000000,0.330643
