date,AAPL,MSFT,NVDA,GOOG,META,TSLA,AMZN,BRK-B,JPM,XOM,600519,000858,601318,601398,000333,600036,000651,601888,000725,002594
2020-01-02,101.848,100.468,101.185,100.48,101.987,97.527,98.62,98.597,99.031,102.263,9.91,10.173,9.406,10.284,10.298,9.891,9.909,10.13,9.941,10.026
2020-01-03,106.17,97.126,102.874,103.584,103.005,98.868,95.939,95.056,97.587,101.38,9.902,10.625,9.512,10.307,10.642,9.697,9.905,10.139,10.196,10.31
2020-01-06,105.571,96.928,108.452,105.056,104.009,101.243,91.873,98.813,101.34,100.056,9.771,10.956,9.342,9.931,10.68,9.544,9.849,10.142,10.497,10.781
2020-01-07,104.975,94.888,105.382,104.11,103.355,102.864,91.909,100.489,101.982,100.312,9.761,10.625,9.029,9.979,10.752,9.549,9.419,9.785,10.553,10.723
2020-01-08,109.59,93.274,106.777,104.794,100.152,107.956,90.961,98.64,96.364,100.039,9.347,10.83,8.635,10.056,10.44,9.395,9.796,9.563,10.325,10.903
2020-01-09,111.975,96.096,104.319,104.269,97.296,106.884,88.434,100.656,94.727,101.194,9.529,10.669,8.791,10.262,10.702,9.412,9.587,9.643,10.47,10.735
2020-01-10,110.622,98.669,105.922,104.349,99.179,109.131,90.644,100.548,92.652,100.545,9.505,10.53,9.256,10.659,10.807,9.333,9.625,9.527,10.632,10.463
2020-01-13,112.348,100.172,103.505,103.62,99.31,109.008,91.955,99.847,91.393,103.457,9.445,10.421,8.99,10.635,10.963,9.37,9.904,9.482,10.858,10.418
2020-01-14,111.01,97.611,102.487,103.285,99.031,111.927,91.996,101.114,92.854,101.384,9.48,10.587,9.179,11.271,11.425,9.558,9.363,9.462,11.152,10.068
2020-01-15,109.68,96.932,101.804,103.855,98.013,112.031,94.62,99.157,92.678,103.553,9.232,10.816,9.151,10.547,11.088,9.741,9.364,9.314,10.693,9.837
2020-01-16,110.489,99.811,104.476,101.516,97.311,111.248,95.98,98.312,92.579,102.363,9.55,10.793,8.745,10.803,11.058,10.026,9.279,9.104,10.66,9.989
2020-01-17,104.79,100.212,107.062,99.178,100.052,114.395,94.486,98.72,95.912,99.467,9.53,10.774,9.078,10.565,11.153,10.218,9.206,8.761,10.045,9.866
2020-01-20,99.924,105.845,103.713,96.034,99.256,113.348,92.602,97.461,94.224,99.949,9.502,10.887,8.737,10.0,10.9,10.275,9.169,8.734,10.401,10.049
2020-01-21,98.463,106.909,103.961,92.516,95.857,110.137,94.224,99.319,99.0,99.632,9.334,11.027,8.748,10.068,10.854,10.176,9.478,8.866,10.339,10.131
2020-01-22,95.81,107.468,102.152,89.952,97.798,109.071,95.072,104.458,97.324,97.927,9.335,11.319,8.648,9.658,10.991,10.089,9.626,8.525,10.482,10.609
2020-01-23,96.707,106.739,98.923,90.338,97.353,110.596,95.494,102.4,97.651,95.339,9.565,10.992,8.921,9.734,10.908,9.89,9.841,8.524,10.013,10.596
2020-01-24,94.378,107.147,98.464,88.515,97.512,113.922,93.962,97.842,97.014,95.419,9.741,10.998,8.597,9.748,11.265,9.893,9.851,8.584,10.569,10.9
2020-01-27,90.803,106.822,97.773,89.624,101.688,114.31,95.209,92.591,97.428,97.029,9.888,10.734,8.718,10.061,10.85,10.051,9.53,8.387,10.03,11.017
2020-01-28,94.513,108.702,104.012,89.749,101.716,117.572,93.856,92.289,98.678,98.048,9.982,10.722,8.468,9.637,11.156,9.888,9.069,8.672,10.394,11.11
2020-01-29,94.002,111.262,105.279,85.693,102.567,114.374,93.758,90.7,99.916,98.233,9.915,10.668,8.321,10.004,11.343,9.881,8.855,8.597,10.437,11.442
2020-01-30,94.247,109.235,101.626,87.049,99.489,113.443,96.589,91.29,98.007,99.095,9.653,10.658,7.274,10.036,11.189,9.732,8.929,8.58,10.382,11.642
2020-01-31,90.645,105.817,100.239,88.741,98.998,112.885,95.4,91.696,95.168,99.147,9.615,10.466,7.894,10.333,10.938,9.78,8.935,8.551,10.302,11.711
2020-02-03,89.364,101.226,102.988,86.742,100.656,112.738,92.472,87.77,101.613,96.934,9.572,10.117,7.93,10.211,10.381,9.66,8.891,8.196,10.106,11.778
2020-02-04,89.703,102.522,108.657,87.64,96.645,113.058,90.604,83.505,100.401,94.784,9.75,9.64,7.723,9.832,10.307,9.5,8.815,8.494,10.514,11.945
2020-02-05,86.947,99.874,104.301,85.946,97.23,114.808,92.512,84.249,102.37,94.562,9.801,9.728,7.425,9.498,10.578,9.356,9.227,8.305,10.366,11.751
2020-02-06,87.907,94.782,99.325,86.192,97.565,113.869,93.081,84.63,98.082,94.406,10.083,9.634,7.3,9.156,10.568,9.464,8.912,8.262,9.968,11.547
2020-02-07,86.529,95.724,104.234,83.708,97.749,114.323,92.934,83.72,97.447,95.807,10.297,9.488,7.486,9.284,10.876,9.445,9.104,8.383,9.856,11.969
2020-02-10,85.905,101.504,105.387,80.267,100.478,114.34,92.075,80.012,97.211,97.082,10.209,9.771,6.997,9.675,10.714,9.356,9.105,8.676,9.901,12.537
2020-02-11,84.556,101.552,103.12,79.599,101.438,112.259,93.07,81.107,98.532,98.133,9.876,9.582,7.05,9.38,10.906,9.413,9.092,8.458,10.179,12.064
2020-02-12,88.906,103.657,104.648,79.417,105.439,112.115,91.571,83.984,91.475,97.78,10.12,9.889,7.487,9.551,10.718,9.326,9.34,8.372,9.996,11.869
2020-02-13,88.941,103.924,97.608,78.729,102.786,111.902,92.229,84.691,91.97,95.676,10.365,10.25,7.084,9.144,10.467,9.565,9.658,8.649,9.836,12.217
2020-02-14,86.435,103.743,97.712,76.607,103.234,111.639,90.963,82.807,89.24,96.411,10.107,9.801,7.192,9.305,10.444,9.357,9.604,8.748,9.849,12.389
2020-02-17,88.446,106.093,98.636,75.94,103.546,111.834,89.409,82.978,90.099,97.329,10.378,9.939,7.746,9.485,10.277,9.319,9.783,8.89,10.118,12.607
