Date,AAPL,AMD,AMZN,BAC,CVX,GOOGL,GS,JNJ,JPM,KO,META,MSFT,NVDA,PFE,PG,QQQ,SPY,TSLA,WMT,XOM
2019-01-02,148158800,87148700,159662000,71836300,,31868000,3999400,7631700,15670900,11603700,28146200,35329300,508752000,26430315,9843900,58576700,126925200,174879000,24458100,16727200
2019-01-03,365248800,117277600,139512000,66599600,,41960000,4060200,8654500,16286400,14714400,22717900,42579100,705552000,28503533,9820200,74820200,144140700,104478000,24831900,13866100
2019-01-04,234428400,111878600,183652000,83829100,,46022000,3788300,8831700,16935200,13013700,29002100,44060600,585620000,27145348,10565700,74709300,142628800,110911500,24087300,16043600
2019-01-07,219111200,107157000,159864000,57016300,,47446000,3152100,8404700,15430700,13135500,20089300,35656100,709160000,20995469,9012500,52059300,103139100,113268000,23369100,10844200
2019-01-08,164101200,121271000,177628000,67339400,,35414000,2692700,9351600,13578800,15420700,26263800,31514400,786016000,19677231,9551300,49388700,102512600,105127500,21602700,11439000
2019-01-09,180396400,163944100,126976000,69707200,,26998000,3321400,7403500,14230300,18032500,22205900,32280800,617260000,20107580,15015600,46491700,95006600,81493500,18816900,13473500
2019-01-10,143122800,115629400,130154000,65235800,,26598000,2808700,6224400,14376100,15976600,16125000,30067600,523156000,39731162,11102300,38943400,96823900,90846000,28188900,13151100
2019-01-11,108092800,85110800,93724000,63476000,,30864000,3182700,5300400,15439900,11088600,12908000,28314200,874764000,21064506,7166600,30176600,73858100,75586500,16183800,9790100
2019-01-14,129756800,71350200,120118000,76715400,,28490000,3361700,7374400,21258500,11514300,20520300,28437100,730168000,17605173,7952000,30710200,70908200,78709500,21255300,11012400
2019-01-15,114843600,62785800,119970000,80625500,,37518000,2911800,5194400,26504900,11342900,24069000,31587600,617012000,25865371,7834500,40874200,85208300,90849000,21174600,10298300
2019-01-16,122278800,70849300,127338000,163131700,,38280000,15194200,6264200,18533000,16907800,18025700,29853900,470104000,30169380,7964500,33812200,77636700,70375500,16230000,12595600
2019-01-17,119284800,85018400,84178000,107428800,,24896000,8177000,7632000,14247600,12044600,15787900,28393000,493436000,24177284,8044500,39329000,96118400,55150500,16843500,10141700
2019-01-18,135004000,88131000,120410000,97928200,,44892000,5650900,10593000,16428700,12760700,31029600,37427600,651336000,38618455,9100300,57183200,127900300,362262000,18361800,15759200
2019-01-22,121576000,78513700,128336000,84861400,,39632000,4648500,10568100,17083700,11700400,22378700,32371300,661552000,29444122,13518500,56711700,115531200,181000500,24189600,15035600
2019-01-23,92522400,77811300,104504000,79425900,,25194000,3410700,9267800,12146700,12058300,20098400,25874300,591020000,24462813,22869000,38106100,86030300,187950000,25037400,13187200
2019-01-24,101766000,97433400,81798000,59492300,,29114000,2631800,9917000,11296800,10272000,20955500,23164800,708972000,34394023,12146400,32417800,59204100,120183000,22829100,11272500
2019-01-25,134142000,110239500,98918000,72182100,,23260000,3275000,7585100,14369400,12066500,22237200,31225600,1154572000,35862455,10618000,36515900,96883400,108744000,21654600,8996200
2019-01-28,104768400,135164100,96754000,59963800,,29334000,2369600,6927700,12283100,9966900,15508500,29476700,2511528000,39329694,9765600,33491200,85613700,96349500,17627400,13678400
2019-01-29,166348800,131202500,92656000,51451900,,19704000,2694100,6669300,9743300,11998600,17632100,31490500,1153932000,51376808,9769800,30784200,66136300,69325500,15760200,10513200
2019-01-30,244439200,211421200,115676000,66475800,,29452000,2773300,7299300,12526300,12952500,44613200,49471900,974228000,36067880,7750200,41346500,92473700,168754500,35547900,11524700
2019-01-31,162958400,182575600,218206000,100201200,,40232000,5604500,17298100,17520600,32181500,77233600,55636400,842852000,40927452,16044400,37258400,104012100,188538000,44169000,19876700
2019-02-01,130672400,105356200,230124000,64244100,,33116000,3174200,9575200,13000800,19130100,30806500,35535700,625048000,27239681,12720800,32143700,85782500,109251000,37775700,22968700
2019-02-04,125982000,70843800,98582000,55195900,,78408000,2400200,7759000,9871500,15105700,20036000,31315100,528592000,19426485,11887500,26718800,60744800,110281500,21805800,15483800
2019-02-05,144406400,122226000,89062000,46622600,,82296000,2601000,6449800,12763000,12651900,22557000,27325400,542424000,21127641,9772300,28156400,79552800,101142000,18299700,12786700
2019-02-06,112958400,78684300,78798000,35606900,,48256000,2063100,5066100,8745000,8689100,13281200,20609800,702464000,16450410,8693900,27970000,58347800,75577500,12794700,10866900
2019-02-07,126966800,86723900,92532000,62289200,,38298000,2948800,6085300,13177500,10047800,17517600,29760700,637120000,24248008,8732500,42036200,95482000,97809000,21030300,14418900
2019-02-08,95280000,78129300,113150000,50031300,,21766000,2757500,4436700,12892600,9813300,12561400,21461100,461604000,27500125,7483200,29020700,75788900,87663000,18507600,11959500
2019-02-11,83973600,60578700,66346000,47724400,,18498000,2056500,4962200,10978500,9369300,12811200,18914100,495180000,27102134,8494100,21434100,68021400,106945500,16628400,10434800
2019-02-12,89134000,67595400,97172000,49178100,,35036000,2392900,6262300,12852300,10983300,16292300,25056600,591060000,30540177,11238800,29722100,72270200,82764000,17643900,12599200
2019-02-13,89960800,57544200,71206000,48951200,,28042000,2757300,7902200,10754100,12748800,14205100,18394900,605372000,24757195,11587200,26094100,65277200,77124000,16375500,13214600
